标题,阅读,评论,字数,影响力,时间
好久没有看账户了，今天看看又亏了,4134,13,132,3.0,2017-07-17 11:27:51
应该出哪个，在线等,4505,7,128,3.5,2017-08-02 08:39:42
北稀的同胞们：明天会很不幸！17.34开盘6个点下,20579,24,143,4.0,2017-08-29 20:45:55
稀土价格疯狂飚升，行情远未结束,33037,20,935,4.0,2017-08-12 10:30:51
上涨放量，下跌缩量,19897,26,129,4.0,2017-07-21 19:20:26
下跌就是机会,11840,32,121,3.0,2017-08-10 13:35:22
北方稀土，明日走势将如何演绎,23445,21,383,0.0,2017-08-28 17:00:48
稀土还会涨，6哥在此推算后市必上22元左右，欢,26123,26,236,2.5,2017-07-30 18:56:53
Adler分析问题的能力差 短线水平臭    第一，Ad,29175,44,426,0.0,2017-08-18 07:24:03
目标价26,36076,52,120,1.5,2017-07-19 18:33:10
经长期观察，确认涨跌开关就是09-10年中国远洋,173841,407,357,3.5,2016-01-22 13:18:40
17元豪无价值！15.35才有短线反弹价值！但都是,7981,17,143,4.0,2017-08-23 13:59:25
20元一直站不稳，今天快速拉上20元上面，但卖单,29992,39,259,3.5,2017-08-15 10:37:08
包钢稀土再廉价卖外国  对得住这片大地》？,12605,22,151,0.0,2017-08-20 14:15:59
盛和资源：唯一不受配额限产稀土霸主(国外矿 和,6975,10,3375,4.0,2017-08-18 09:59:46
山西西姆东海炭素石墨电极价格上调，本周方大炭,12332,6,347,4.0,2017-08-23 14:55:26
北方稀土8月23日盘中跌幅达5%,28621,13,184,0.0,2017-08-23 14:33:41
短线高手17.25处有T+0一次！不会不要博！,10971,26,134,4.0,2017-08-16 14:39:39
赚没赚多少，一天亏到完。苦啊,10059,30,138,3.0,2017-08-16 15:20:08
中报速递：北方稀土2017年上半年盈利1.12亿元，,67239,35,231,0.0,2017-08-17 18:44:56
稀土行业协会：建议暂缓收储和释放稀土储备,36295,41,501,0.0,2017-08-22 10:18:37
北稀人做好减仓准备工作！,21756,32,123,4.0,2017-08-01 14:36:04
北稀股校通知：昨天跑了！你可以毕业了！中专毕,14356,21,152,4.0,2017-08-16 20:50:35
费用提升影响上半年业绩，长期向好趋势不改,86782,19,1162,0.0,2017-08-22 10:15:04
当心尾盘小跳水！明天再一低开多头被关！,5429,15,130,4.0,2017-08-15 14:04:06
关于8月18日北方稀土操盘的一点设想,86497,52,684,1.5,2017-08-17 22:07:39
