标题,帖子数,日期,情感
光大集团玩猴戏的目的是什么？,8590,22,2016-08-27 09:47:57,0.6727841281423215
净利润 164.39除以总股本466.79亿股等于0.35元,6551,24,2016-08-27 08:54:42,0.08946160267333558
光大银行半年净利同比增长1.24% 不良贷款率下降,18976,7,2016-08-26 21:44:37,0.6033478263825698
王若谷,5442,12,2016-08-26 21:00:10,0.8160815160081122
到中金所抓空狗，各媒体也要抓！,6113,23,2016-08-25 17:39:02,0.32220033373847035
贵阳银行树标杆效应，超过招行成第一股价银行股,4582,5,2016-08-23 10:38:33,0.08643959987800254
论光大银行触网、发优先股以及可能的员工持股,19023,48,2016-08-19 11:50:24,0.0030568522305176593
这个家伙挖一个坑,3687,15,2016-08-25 14:34:22,0.07990434889549458
两只银行新股标杆的伟大意义,6360,21,2016-08-24 18:43:31,0.22839972619549398
汇金总经理为何又将“换帅”？,6292,15,2016-08-23 18:59:31,0.04115847146251894
将空狗清洗出去就上涨,6248,15,2016-08-23 12:30:33,0.060111589676823396
浙商银行中报业绩增长42%以上 青岛银行增长17.4,4406,6,2016-08-23 12:46:40,0.9827310049091447
石在，火种是不会绝的,8812,19,2016-08-17 18:21:18,0.22177061654460617
光大银行目标价!!!!!!,19711,20,2016-08-06 09:42:24,0.42173688071320525
昨天谁在砸盘银行股？,11106,20,2016-08-17 07:24:08,0.17183991034860213
601818:光大银行非公开发行优先股(第二期)发行,16529,6,2016-08-18 19:03:01,0.016174542797689595
从万科的股权争夺战说到光大银行的整体上市,11809,20,2016-08-15 07:26:43,0.30336435255902316
炒股要学会思考而不是让别人忽由,9350,16,2016-08-13 14:00:53,0.5034427642855445
狗庄玩对敲，正好做低吸～,5166,18,2016-08-16 10:18:16,0.5724310879297465
整体上市：4元挡不住！5元、6元也挡不住！,11179,20,2016-08-12 10:50:15,0.23542835581104993
银行今日将全部清空！去年4块5追高教训惨痛！赔,8596,26,2016-08-12 10:16:43,0.008619854329866117
中国没有金融危机，股指却还至今不到半山腰,5528,11,2016-08-12 08:48:11,0.9980567069805302
今天银行预计下午一点半到顶，无论届时涨幅多大,5608,6,2016-08-11 10:30:38,0.0097281392435149
光大为何是一只比万科更肥的猎物？,17857,56,2016-08-09 10:03:53,0.4205920571771601
江苏银行13倍市盈率的标杆效应已让恶意空头万分,7232,14,2016-08-10 11:44:28,0.13500610804786295
光大银行举报门调查：上海国际信托明星项目演变,15499,10,2016-08-08 22:34:57,0.5776570043053598
万科的股权之争是不是光大银行的前车之鉴？,13384,41,2016-05-11 11:21:47,0.06805073514571902
今天两市流出资金300亿。下周唯一能救大盘的只,6107,7,2016-08-05 18:06:20,0.8409103164676797
光大银行是否也有合伙人制度、员工持股制度？,9330,19,2016-08-04 22:43:51,0.8092329335237514
别急！公告整体上市那天就会连板,24190,34,2016-07-15 09:38:25,0.7060510601623858
中长期投资，你会在乎一两分钱的上下吗？！,11844,44,2016-08-03 15:34:43,0.45591023819045207
写在江银和贵银将联袂上市前夕,20411,43,2016-07-31 19:19:35,0.9568601643737691
请教王若谷老师，江苏银行今天如期上涨，其他银,7323,7,2016-08-02 13:32:00,0.8881397074339441
洗掉获利盘和解套盘，轻松上阵～,15443,25,2016-07-27 15:10:06,0.041185599010803764
江苏银行如期封板  网友盛京居士2赋诗,3332,2,2016-08-02 09:43:01,0.09472042116558921
价值回归路上，,11449,32,2016-07-28 11:42:30,0.9610674788569198
河南猴子对敲演猴戏，骗谁来看？,6387,12,2016-07-29 09:59:16,0.232240196321311
河南猴在对敲，小虫虫在卖出，机构在买进，大股,6159,6,2016-07-29 15:04:17,0.007710430393366274
买入光大银行，不怕讥笑咒骂，放一年时间，跑赢,17279,34,2016-04-19 14:47:00,0.3835267677320451
