标题,阅读,评论,字数,影响力,时间
肯定又崩盘啦 崩盘了 跌停无疑了!!!!!!!!!!!!!!,29589,137,236,4.5,2016-01-05 09:06:09
关于中国银行，其实多数人已经被垃圾股炒家和股,17243,24,552,3.5,2016-08-11 11:55:16
中行从来没有涨停过，明天能来一个吗[大笑],9366,17,148,3.0,2016-08-11 22:23:40
朋友们新年好！决战马上要开始了，祝福今年好运,30684,48,168,3.5,2016-02-13 10:17:28
大智慧告诉我们：九成以上股民没有大智慧。,8635,17,451,3.5,2016-08-14 10:48:44
是笑话还是买入信号,10077,26,149,4.0,2016-08-11 09:48:54
柳钢股份：从4.4元跌到3.62元，跌幅超20%[抄底],11568,37,103,4.0,2016-08-06 10:27:59
老股民喋血忠告本吧小散：绝不买万科！绝不！,8921,11,508,3.5,2016-07-06 08:05:45
中国银行与共和国一起成长！一起强盛！,18117,17,87,2.5,2016-07-10 16:42:39
中国银行(601988)融资融券信息(08-03),4730,4,532,0.0,2016-08-04 07:43:34
百年中行，值得长期反复拥有,43383,103,132,2.5,2016-03-07 10:15:45
以开盘价3.1买入中国银行，世界经济消条不知这,11453,11,182,3.5,2016-02-15 13:47:12
中国银行，净资产+公积金+未分配利润=6.5元，其,7519,9,199,3.0,2016-07-31 17:57:34
中国银行(601988)融资融券信息(07-28),5562,5,536,0.0,2016-07-29 07:47:43
[疯狂怒笑]等死吧！危机已经爆发，这是毫无疑问,2387,7,2013,4.0,2015-09-05 07:50:09
中国银行(601988)融资融券信息(07-27),5149,7,534,0.0,2016-07-28 07:51:12
好当家：转型大健康，大消费，大美丽产业，打造,45613,165,144,4.0,2016-06-08 19:49:03
粘胶短纤价格暴涨了，关注：新乡化纤,6198,14,144,4.0,2016-07-24 07:23:13
我操作中行8年，亏多盈少，奉劝广大股民朋友千,4453,5,190,1.0,2016-07-20 21:40:47
全球迅猛布局黑科技产业链仅此一家 未来黑科技,64186,108,2545,3.5,2016-04-26 12:23:13
[投资者传闻求证]沦为第一低价银行股，是光荣还,28533,21,197,3.5,2016-07-01 14:43:38
601988:中国银行董事会决议公告,28743,2,810,0.0,2016-07-18 17:08:06
2015年三季报点评：业绩和资产质量均承压,16154,7,1185,0.0,2015-11-02 11:34:03
中国银行出售华能20%股份 获23.62亿元净收益,24187,4,374,0.0,2015-12-30 14:54:54
中国银行(601988)融资融券信息(07-15),6749,5,530,0.0,2016-07-16 07:49:53
