标题,阅读,评论,字数,影响力,时间
22.22 全部清仓了  一股不留,29338,41,17,4.5,2017-08-09 09:54:06
伊利今年年底30元，明年6月30日至少涨到50元，,26626,37,190,2.0,2017-08-07 17:41:13
8月8日，内蒙古自治区举行成立70周年庆典活动,14029,16,479,4.0,2017-08-07 11:43:04
喊明日高抛的其实手中已无股了！,14496,12,192,4.0,2017-08-09 15:19:11
最新沪港通数据显示，新高指日可待。 今天收盘,9153,7,203,4.5,2017-08-08 18:24:57
尾盘再次做空，今天建仓两笔，我持有平安银行市,16827,38,200,3.0,2017-06-19 15:01:04
食品板块涨幅居前 伊利股份、贵州茅台均创历史,45630,6,213,0.0,2017-08-09 10:41:43
证监会:严打利用“天价”标杆股影响市场估值，,6515,14,477,3.5,2016-11-30 13:36:01
质检总局黑榜 雀巢10吨奶粉被禁止入境,7372,6,2030,4.0,2017-08-02 07:15:08
液奶6月数据持续向好，奶粉复苏伊利渐入佳境,60241,8,1563,0.0,2017-08-08 08:48:06
伊利股份(600887)融资融券信息(08-04),6737,3,550,0.0,2017-08-05 07:45:54
越过 21.30  将一马平川,10644,26,15,4.5,2017-08-07 14:00:24
经过一个多月的沉默，今天洋鬼子疯狂进场伊利股,16549,13,170,4.5,2017-08-02 18:24:01
我宣布  20.92  融资满仓了,8407,18,17,4.5,2017-07-12 13:41:53
2017年3月15日   星期三 A股前瞻  〈16号美联加,2614,4,525,3.5,2017-03-15 09:21:45
南京和肉体,2775,154,120,2.5,2016-11-30 18:41:19
昨天上新闻联播夸你，今天就大跌，如果有利空鬼,18745,14,280,3.0,2017-08-04 15:41:34
21.11  全部清仓了  太弱了,5187,8,137,4.5,2017-08-07 10:36:48
完蛋了！今晚新闻联播大篇幅报道伊利，明天大跌,22377,24,156,3.0,2017-08-03 19:18:10
爱喝给伊利17年度溢价区间25.20～28.20元！,12707,13,155,4.0,2017-07-12 22:20:18
20.70 不破  继续持有你的股票,9108,12,18,4.5,2017-08-04 15:47:15
伊利股份：2017年计划实现营业总收入650亿元,63645,19,268,0.0,2017-07-26 15:41:35
刚刚新闻联播在报道伊利股份！明天会涨吗？,19982,16,150,1.0,2017-08-03 19:15:43
20.16  全部清仓  一股不留,9600,13,131,4.5,2017-08-02 09:59:04
伊利迎来黄金时点，三年或剑指乳业王者,88890,7,1089,0.0,2017-08-01 08:36:18
