标题,帖子数,日期,情感
《炒股日记》（6月20日，周二）,10334,35,2017-06-20 16:05:22,0.0034691460543870845
阿里巴巴巴菲特天价“扫货”方正证券250元,15622,15,2017-06-10 16:43:06,0.8392243778773435
《炒股日记》（6月22日，周四）,7621,9,2017-06-22 15:49:57,0.04638673434907592
方正证券港资背后在唱什么戏？,15946,10,2017-06-22 11:17:32,0.9960741197434927
《炒股日记》（6月21日，周三）,7216,8,2017-06-21 15:46:18,0.008760518841682274
港资建仓10亿股，建仓均价8.5元。耗时6个月，耗,51078,44,2017-06-08 08:18:43,0.02739777291133816
MACD顶背离了，俺先把本金给撤出来了，剩下的仓,10090,8,2017-06-12 13:31:32,0.035193322397016
小芳的庄家可够坏的啊！,2540,16,2017-06-05 09:58:49,0.10882799568126533
八十倍配资开空,"""明天做空方正要大发了",24931,57,2017-05-22 15:22:58,0.20795717847988704
差不多了，先走了,5737,12,2017-06-03 17:13:23,0.5273747570092943
前途必将一片光明,3735,27,2016-07-06 14:42:12,0.975689842594076
601901:方正证券关于补选董事相关情况的核查公,19745,14,2017-05-19 16:30:19,0.4583799578648071
还有没有机会再接回来啊。,3093,11,2016-07-06 14:42:26,0.37048052952548804
理论上没有创新高，实际上已经创新高了！因为之,22818,23,2017-06-08 15:18:43,0.9776188003996256
《炒股日记》（6月16日，周五）,9550,9,2017-06-16 15:45:33,0.02246883080853157
方正证券  逆天了,38764,23,2017-05-26 18:04:45,0.25246209987260626
《炒股日记》（6月8日，周四）,8024,19,2017-06-08 15:50:54,0.039852183676168496
买入上海石化(600688),141630,210,2016-06-14 10:40:37,0.3141388674957901
早就说了是证金左手倒右手，还有人相信是港资买,18511,17,2017-06-09 15:17:29,0.07131701620980124
坚决做空围歼港仔,8413,28,2017-05-23 21:33:21,0.7596145255258858
请教：港资为什么要获得方正证券的股权？谢谢。,35621,30,2017-06-08 21:03:18,0.3190560974562644
港资持股日期:  09/06/2017,15181,9,2017-06-11 07:41:00,0.43886815076551766
难熬吧？哈哈哈，还早着呢，起码还要蹂躏3个月,23578,55,2017-04-28 15:12:01,0.4998498923016874
《炒股日记》（6月6日，周二）,8065,13,2017-06-06 16:45:27,0.003711718692033128
601901:方正证券2017年5月财务数据简报,51865,8,2017-06-06 18:28:35,0.3581382575868707
方正证券8月8日有20亿股要解禁，难道港资不知道,23369,31,2017-06-02 18:56:01,0.007692921303868783
港资持股日期:  01/06/2017,13599,13,2017-06-02 09:36:16,0.43886815076551766
今天卖了三十万股做空,13455,32,2017-05-17 22:33:41,0.1470853805099397
内资港资一起抢筹，还有多少小散可以分享小方这,8636,21,2017-06-02 15:32:49,0.4995544901798029
8月8日解禁会不会像第一创业一样啊,12589,18,2017-06-03 16:30:22,0.3782135246054129
今天满仓方正了听天由命吧,15587,21,2017-06-01 15:49:44,0.26940414952545577
《炒股日记》（6月2日，周五）,8505,8,2017-06-02 15:50:44,0.027974497539932974
小方必将砸破8元，不要在心存侥幸了！,52323,120,2017-03-23 00:26:35,0.01781588449883076
《炒股日记》（6月1日，周四）,9045,18,2017-06-01 16:38:40,0.023687768271201337
《炒股日记》（5月31日，周三）,10855,37,2017-05-31 15:22:19,0.024437126026368383
《炒股日记》（5月23日，周二）,19658,40,2017-05-23 15:59:15,0.00414589082386807
投资没红分，投机又会抓，中国股票还有炒吗？,19947,99,2017-03-03 10:40:10,0.9563498227350663
市场预计或有4000亿元左右资金将先期逐步入场,7326,135,2016-12-20 17:07:30,0.96606366135463
狗庄家砸盘丢了很多筹码。这傻缺真可笑，不好好,4579,83,2016-12-21 15:05:04,0.14102867458860036
有股的坚定持有，无股的暂时别买，等调整完了再,20998,155,2017-05-22 14:26:58,0.08579454902730244
涨速决定上升空间！,4166,24,2017-05-24 11:05:26,0.5086827212524878
601901:方正证券关于召开现金分红说明会的公告,56528,25,2017-05-25 18:55:45,0.1919948787985355
曾购买方正证券（601901）符合索赔条件的股民可,19313,38,2017-04-14 14:52:24,0.6438409851817227
券商，俺 只买--方正证券！,8073,10,2017-05-23 13:55:04,0.41027042839433814
港资持股日期: 24/05/2017,8416,9,2017-05-25 07:22:19,0.43886815076551766
一点看法，写给小芳。,14811,20,2017-05-23 16:10:16,0.582395592872399
外资的思维真厉害，9快震仓之后把8.5-9快的仓为,4687,0,2017-05-23 15:21:38,0.16866745631164515
买证券不如买银行和保险。,1221,1,2017-05-23 15:11:53,0.16858563322864284
五倍杠杆已经获利。,1489,0,2017-05-23 14:57:27,0.5376801833202033
这次要来真的，保险银行石油万科集体上啦,1224,0,2017-05-23 13:39:15,0.28907857445646956
方正业绩和其他券商比感觉没有什么特别优势，为,2848,4,2017-05-23 14:21:47,0.8530976211351889
601901:方正证券关于设立公益基金会暨确定对外,24655,14,2017-05-19 16:30:37,0.9209402242662097
中国银行香港公司，新加坡银行分别持有4%以上股,18106,18,2017-04-13 09:14:27,0.28791946975476135
大数据来说话，观察下港资在1901小方的动向！,13753,6,2017-05-20 17:13:01,0.7325838749613203
方正证券(601901)融资融券信息(05-08),3917,5,2017-05-09 07:51:32,0.8233030596223522
方正走势稳健，做空极度危险,11617,14,2017-05-18 17:11:26,0.272580960126913
方正证券敲定与南都电源合作 共构产融结合新格,25271,7,2017-05-19 13:52:06,0.032305518228332164
假如开通T加0，方正最少涨十倍，养小三就靠方正,11247,16,2017-05-19 17:40:36,0.6994788191410152
5月19日 港资做多上证50股指期货 中国股市又让,8324,7,2017-05-19 10:27:14,0.636719093610585
《炒股日记》（5月18日，周四）,7953,32,2017-05-18 16:29:58,0.05613503132011122
《炒股日记》（5月22日，周一）,8470,21,2017-05-22 16:09:56,0.027155755018392957
《炒股日记》（5月19日，周五）,10640,22,2017-05-19 16:31:28,0.028956307126262404
马云联合赵薇入股方正证券，赵薇融资20亿，马云,57163,28,2017-02-17 13:42:40,0.9779565779689435
601901:方正证券关于公开征集董事候选人的公告,13917,4,2017-05-19 16:29:46,0.5291068663743947
香港方面的资金源源不断啊,20665,25,2017-05-12 00:39:13,0.9907106313109847
5月12日港资再买1.66亿元，谁还在卖？,19630,28,2017-05-12 18:37:04,0.034273409003570454
如果取消想跌停板，恢复T+0，还敢有杠杆吗？你,4110,8,2017-05-14 21:31:14,0.06349964407674946
港资持股日期: 17/05/2017,7435,9,2017-05-18 08:02:50,0.43886815076551766
601901:方正证券2016年非公开发行次级债券(第二,21792,6,2017-05-17 19:03:52,0.1307205237831901
方正证券 周一又将掀起腥风血雨,37363,159,2016-11-19 13:58:44,0.6857284326340353
券商板块快速拉升 方正证券涨近7%,30665,8,2017-05-17 10:22:37,0.5584010309301481
《炒股日记》（5月16日，周二）,8989,15,2017-05-16 15:42:53,0.002293257208244359
上周惨败的教训,11331,11,2017-05-15 11:08:24,0.5815017734688491
24家券商超3成分红手不软 唯方正证券2年未分1厘,63111,21,2017-05-15 07:55:07,0.013673810148736698
本周战绩（惨败）,8821,14,2017-05-13 16:40:02,0.44767845850986676
方正业绩及大金融噱头是后市领跑的关键,23255,24,2017-04-01 09:45:52,0.9881064334691513
港资持股,9843,11,2017-05-12 13:24:53,0.1837733338352846
《炒股日记》（5月8日，周一）,8293,20,2017-05-08 15:43:55,0.02326420318593292
看看港资接走了谁的筹码。,15356,19,2017-05-10 18:06:28,0.892273444771005
方正为什么抗跌？散户看过来,10685,15,2017-05-11 18:13:15,0.5650759065590988
《炒股日记》（5月10日，周三）,7442,23,2017-05-10 15:22:56,0.01087094351500284
方正系4家公司收到证监会处罚决定书：信披违法,19713,25,2017-05-09 21:53:27,0.002860042674966645
截至本周五收盘港资持股比例，如下图！,23733,45,2017-05-06 07:13:48,0.25262067909438624
针对券商股均线龙头《方正证券》的个人观点 首,27088,38,2017-05-04 15:22:38,0.35889180647045604
601901:方正证券关于媒体报道相关情况的公告,34570,9,2017-04-21 23:45:23,0.5858802408070581
601901:方正证券关于公司被立案调查事项相关情,45437,15,2017-05-05 20:58:10,0.21169098779641815
方正证券：收到证监会处罚决定书,15072,7,2017-05-09 19:06:13,0.07457546840125717
证监会处罚方正证券 罚款60万元,25792,51,2017-05-05 17:03:16,0.017129669405636427
季度报表呢？？？,2538,40,2017-04-28 23:30:51,0.12033773265705405
看好深港通给券商板块带来的机会,160492,396,2016-11-17 10:56:04,0.4682279677684167
《炒股日记》（4月17日，星期一）,11757,30,2017-04-17 15:57:42,0.045516456716390374
方正证券：尚未收到正式行政处罚决定书,21936,8,2017-05-05 21:02:25,0.48251365209474273
方正证券等信披违法4案被顶格处罚 涉案主体达49,30699,18,2017-05-06 04:40:02,0.058257482709889064
还是早点下班回家睡吧,32530,47,2016-05-11 17:59:02,0.8543865927817443
《炒股日记》（5月4日，周四）,6408,11,2017-05-04 15:54:30,0.033676354616274384
《炒股日记》（5月3日，周三）,6080,11,2017-05-03 16:19:42,0.012757124027149458
《炒股日记》（4月10日，星期一）,9255,17,2017-04-10 16:06:39,0.034444588628169126
券商必须涨停救市，马上51了，这星期不能就千股,3665,8,2017-04-24 11:30:18,0.5631342510618549
应一些股友要求，现贴图港资持有方正证券情况，,20586,26,2017-04-22 13:34:05,0.07586461525411825
雄安崛起大牛市启动，A股必将雄霸全球！,6885,16,2017-04-22 09:22:52,0.7405860851124922
方正证券ABS项目获评2016年度企业资产证券化“,16517,7,2017-04-27 15:15:58,0.7807732598161782
（5月2日，周二）《炒股日记》,8695,8,2017-05-02 16:29:39,0.015308171792057013
《炒股日记》（4月28日，周五）,7746,8,2017-04-29 15:05:45,0.036928782774772406
601901:方正证券关于暂缓表决2017年第一次临时,29988,18,2017-04-06 12:42:20,0.5649424781081981
港资28日继续买入，最新数据：665,013,194 ，10,14488,19,2017-03-29 00:31:42,0.49260546937303906
601901:方正证券对外投资公告,24274,6,2017-04-29 01:31:19,0.7486485619312099
4月27日，周四《炒股日记》,12026,16,2017-04-27 16:02:22,0.020481712535562635
公司老板都死了，可能涨不了了,4712,15,2017-03-15 22:30:42,0.20500253372336485
601901:方正证券关于公司涉及诉讼的进展公告(20,28293,18,2017-04-25 19:31:37,0.9735337433119682
方正证券高管涨薪涉嫌信披违规 评级曾连降6级,20908,16,2017-04-26 13:36:49,0.25702996485162766
紧急通告：立即抢购处于历史低价的金钼股份6019,50288,46,2015-12-29 11:19:08,0.9933145453270636
《炒股日记》（4月25日，周二）,9939,21,2017-04-25 15:25:19,0.004330723784280122
4月19日港资持股,8235,10,2017-04-20 08:58:21,0.01906737352413468
公司管理体制改善，自营、投行有望表现突出,20737,7,2017-04-01 18:22:28,0.9881159078424391
《炒股日记》（4月20日，周四）,19531,27,2017-04-20 15:38:17,0.02897448250642498
601901:方正证券关于对香港子公司增资的公告,27772,12,2017-04-24 20:27:37,0.7448607488827073
方正证券老牛B了，大盘跌到2600点,4866,0,2017-04-21 16:56:26,0.24433064953200356
业绩腰斩，官司缠身，外资任性增持的几个疑点??,7214,36,2017-04-21 16:57:53,0.3458830036467052
股价必与每股业绩相匹配，目前股价没有低估!!!!,3525,41,2017-04-21 16:41:53,0.9288359940346579
今天方正沪股通流入1.13亿,13750,12,2017-04-19 18:01:10,0.6279549606157271
方正证券 明天怎么操作？走还是留？,53852,52,2016-06-07 19:46:18,0.2752820292879802
业绩腰斩，官司缠身，外资任性增持的几个疑点。,14758,11,2017-04-19 00:04:24,0.3466175158065735
方正证券：一季度净利下滑五成,13933,8,2017-04-18 20:27:08,0.764765402204428
《炒股日记》（4月18日，周二）,7391,13,2017-04-18 19:24:28,0.006890772446277227
601901:方正证券关于以前年度重大诉讼进展的公,29182,7,2017-04-18 19:04:20,0.906898120522092
那些一天到晚说伪港资的看下你们的股票软件的公,16309,28,2017-04-12 17:38:13,0.9499012718202018
《炒股日记》（4月14日，星期五）,9791,25,2017-04-14 15:47:34,0.012595121269801446
601901:方正证券关于收到中国证监会行政处罚事,51861,49,2016-12-19 19:41:26,0.18405538229494256
《炒股日记》（4月12日，星期三）,7437,19,2017-04-12 15:38:59,0.004749136645772589
601901:方正证券2017年3月财务数据简报,41569,12,2017-04-11 16:48:14,0.2959563956001857
《炒股日记》（4月11日，星期二）,6246,10,2017-04-11 15:34:22,0.00534659385527303
《炒股日记》（3月29日，星期三）,9783,44,2017-03-29 15:54:54,0.004970947187775465
外资为何看好方正？且听我说。,34645,28,2017-03-29 19:45:56,0.1625664511113597
如果你认为大盘会冲三千三就买券商股,11073,11,2017-03-27 11:54:21,0.2754707674670098
《炒股日记》（3月31日，星期五） 一、方正证券,9685,5,2017-04-01 08:58:32,0.023826585632253372
《炒股日记》（3月31日，星期五）,8832,14,2017-03-31 16:35:15,0.023524053454238802
601901:方正证券关于公司涉及诉讼的公告,28792,10,2017-03-30 23:23:30,0.9097872188166971
