标题,帖子数,日期,情感
中国交建个股短线涨幅放缓，近期市场比较弱，趋,10324,114,2017-04-24 15:16:22,0.40845568897420803
清仓了，仍要关注它,20110,53,2017-04-21 15:26:14,0.8888063026533727
已清仓，感觉良好。,4740,3,2017-05-03 11:59:40,0.4877270663488873
今日尾盘满仓交建后我就想大声说一句话：“我们,140043,61,2016-05-12 20:02:42,0.07523136872829528
601800:中国交建2017年第一季度报告,46859,4,2017-04-27 23:00:14,0.8617957727415525
主力，差不多了，都走光了，要拉一下，聚聚人气,2359,2,2017-03-29 13:10:55,0.5328423405289182
4.0工业革命凸起黑科技受惠的上市公司（转）,12774,19,2017-04-03 12:50:53,0.2962239259185949
PPP概念接力雄安新区，这30股遭主力抢筹，明日,9345,71,2017-04-14 18:41:02,0.9700815622175759
侥幸是加大风险的罪魁,3511,14,2017-04-18 16:06:10,0.34045386062455685
没把握时坚决不进场。,3679,15,2017-04-18 16:05:53,0.6571897770670663
中国交建：2016年盈利167亿 拟10派1.9444,33661,4,2017-03-28 21:20:52,0.6026985993739712
今日收盘价相当吉利！,8434,18,2017-03-27 16:15:25,0.8794433566334721
两大黑科技领域中率先得到实惠的上市公司,10483,13,2017-03-15 17:48:38,0.9996279021475222
抄底的机构可以建仓002792通宇通信，小盘低市盈,4663,17,2017-03-21 11:28:14,0.29647463383205475
中国交建，值得一做,50530,76,2017-02-12 23:37:29,0.885168857732873
业绩稳步增长，一带一路与PPP业务亮点突出,61443,15,2016-08-31 14:10:45,0.9485334462914619
“五商中交”战略持续推进，金融创新助力全产业,40425,7,2016-04-28 14:44:53,0.9999563688724965
基建疏浚业务促业绩稳健增长，海外工程及PPP实,31235,13,2016-03-29 21:48:46,0.9198664504197438
业绩稳健增长，“一带一路“海外业务快速增长,47460,28,2015-09-02 15:25:01,0.9994515085927107
中报点评：经营稳健，海外业务势头正劲,11922,10,2015-09-02 13:36:18,0.5064750666493589
业绩稳健，一带一路促进海外扩张,22949,17,2015-09-01 09:34:03,0.9865765954408439
业绩符合预期，受益于基建刺激、国企改革和PPP,18235,12,2015-08-31 14:09:13,0.993782243574068
波音将创建中国工厂,3328,11,2017-03-13 14:32:39,0.9175614054230701
大盘四周连阳啥意思？,27502,41,2016-11-04 15:04:40,0.5815017734688491
601800:中国交建2016年第四季度主要经营数据公,33076,3,2017-02-28 18:48:57,0.8166762695317586
股市自有黄金屋 个股自有颜如玉,23284,24,2017-01-22 15:23:16,0.9880638020443051
股价有点高了,11120,6,2017-02-20 15:10:26,0.8387728222848221
中国交建与河南签署战略合作框架协议 涉及金额2,21962,5,2017-02-22 23:03:16,0.5567081278310667
周五大盘回踩中阴注意减仓,10751,2,2017-02-16 20:02:04,0.18603362403836277
中国交建大家都买进了吧，相信现在大家现在小红,19767,53,2017-02-06 16:03:14,0.6830548500460588
