标题,阅读,评论,字数,影响力,时间
明晟MSCI此时设MSCI中国指数正当其时。,21559,80,274,4.0,2017-06-15 10:28:53
听我的话准没错 中小散户要远离银行股 超级大盘,6571,17,298,4.0,2017-05-12 15:23:45
去你妈的,43969,501,4,4.0,2017-01-07 08:40:51
兴业银行除权价15.55元。长线持有。,2054555,5387,213,3.5,2016-06-05 10:08:55
银行反弹的第一步10倍市盈率，第二步15倍，第三,13956,13,695,3.0,2017-06-17 09:37:45
2017半年度股票投资收益报告(06.30) . 期初账户,13024,20,518,4.0,2017-06-30 15:29:12
今天不上车，兴业明天开始就不会给你上车的机会,15684,19,163,2.0,2017-06-02 11:31:41
价值投资首选兴业银行,13676,19,130,3.5,2017-03-29 20:49:26
告诉你们 兴业银行下半年跌破15元！,40776,76,146,4.0,2017-02-14 12:46:36
“国家政策是真理”是个SB，真它妈的理,21221,47,289,0.0,2017-06-11 20:42:27
兴业银行架构之变：四大虚拟总部替代三大条线总,23362,21,3771,0.0,2017-06-30 23:31:05
差一分钱没成交！郁闷郁闷！挂单16！最低16.01,4320,11,172,3.0,2017-06-23 16:38:12
601166:兴业银行信息披露暂缓与豁免管理办法,32369,8,1729,0.0,2017-07-03 18:47:12
高送转龙头英维克大跌23%，这里赚钱的可换股!,2488,3,172,4.0,2017-06-28 13:30:04
A股随笔。,23504,39,1928,4.0,2017-06-18 09:14:04
兴业银行是大周期下跌中     跌回6天还是可以的,24918,101,97,3.0,2017-05-06 12:31:22
加大波动幅度，今天第四笔了！牛！下午再跌回来,1706,13,162,2.0,2017-06-23 13:56:01
兴业银行有大资金吸筹，很明显的盘口,32529,110,135,3.0,2017-05-04 09:43:34
兴业银行非常适合用来压仓打新股,10361,29,241,4.0,2017-03-30 21:17:25
好怕怕！兴业2020年底净资产30元业绩4.5元,15503,20,152,4.0,2017-05-10 09:04:48
终于看见有点买盘了 15.82进来了 呵呵,15142,54,152,2.0,2017-06-16 10:33:03
欢迎 在此大量做空，就是要将空头 消灭在这里。,1501,15,156,3.0,2015-10-22 13:39:05
"""一带一路""超低估值才是财富__________________",22345,52,661,4.5,2017-05-13 16:27:24
兴业银行，即将拉升！,33667,46,325,4.0,2016-04-22 22:40:11
抢权进行时。 终于见分红实施公告了，股权登记6,23084,41,279,4.0,2016-05-31 13:12:23
中国基金真是傻的可以，全在炒亏损股,4699,11,144,3.0,2016-06-03 10:20:54
兴业银行一季报解读,31206,11,3914,4.0,2016-05-16 09:36:48
恶炒不死，股灾未已！,9865,18,130,4.0,2016-05-17 19:00:55
分红到账48800，周一加仓30手,14160,13,238,3.0,2016-06-04 10:47:05
601166:兴业银行2015年度优先股股息派发实施公,80901,8,1315,0.0,2016-05-30 18:54:42
老子别的没有！就是有信心！！！,11559,19,177,4.0,2016-03-16 16:51:55
兴业银行完成首笔债券通一级市场分销,15311,3,191,0.0,2017-07-03 14:29:57
