标题,阅读,评论,字数,影响力,时间
华夏的模式是可以持续的，我查阅过自11年至17年,13126,9,331,0.0,2017-08-12 20:57:53
华夏幸福助力嘉兴历史使命 中标嘉兴科技城产业,7765,4,829,3.0,2017-08-12 22:41:18
看看我能不能够一直坚持华夏幸福这个根据地到它,23481,39,199,3.5,2017-05-23 14:04:08
炒雄安，必炒华夏幸福！,16664,24,127,0.0,2017-08-08 09:41:05
港资加码华夏幸福，看图说话，虽然不是很多，但,19482,32,227,2.5,2017-07-15 14:44:41
600340:华夏幸福关于PPP项目资产支持票据发行完,41404,16,904,0.0,2017-08-11 18:02:57
600340:华夏幸福关于拟发行PPP项目资产支持票据,57686,19,1934,0.0,2017-06-20 16:09:40
没有房地产，还会有涨价慨念？脑残啊！,5980,26,129,0.0,2017-07-21 14:30:06
600340:华夏幸福关于控股股东股份质押解除的公,34689,20,1079,0.0,2017-08-10 18:33:37
600340:华夏幸福关于公司取得房地产项目的公告,65479,34,1192,0.0,2017-08-09 18:28:37
换股推荐，晨鸣纸业，北京利尔，河钢股份，我一,8971,9,196,0.0,2017-07-31 17:48:08
自己信自己，我还在坚持,15591,22,135,0.0,2017-08-02 20:07:23
注意注意注意注意注意--8月18日出半年报--时间,9773,6,290,3.5,2017-08-09 10:02:06
600340:华夏幸福关于设立下属公司的公告,41964,7,1108,0.0,2017-08-09 18:28:14
600340:华夏幸福关于媒体报道的澄清公告,483309,107,1759,0.0,2017-04-04 14:13:20
证监会通报证券操纵案:制造题材、股评推荐，对,11052,19,975,4.0,2017-05-08 14:46:43
抛！机构拉升诱多不是解放军，对倒放量是笑着数,8246,12,298,3.5,2017-07-27 11:02:57
我重仓在32元被套。 别害怕，快要公布半年报了,15524,23,181,3.5,2017-08-07 11:22:10
华夏幸福17年还有新高,8432,4,82,3.5,2017-08-08 14:58:39
从6.20到目前机构通过专用平台发生9次大宗交易,19358,20,265,0.0,2017-07-27 16:48:55
虽然我满仓持股华夏幸福，决定长期坚守，但是，,12901,10,247,3.5,2017-05-27 11:47:07
十年炒股两茫茫，先亏车，再赔房。千古跌停无处,7913,18,319,2.5,2017-05-22 21:27:48
华夏拉个板，华夏股民都幸福！,4210,8,156,3.5,2017-05-23 10:52:24
华夏幸福，龙建股份，发图给咨询股友无关涨跌据,4633,3,90,4.0,2017-05-28 15:09:09
附图：交通先行，廊涿固保城际马不停蹄,18465,16,2134,3.5,2017-05-27 20:29:48
放量拉升直接涨停了,4785,11,9,3.5,2017-05-23 10:51:14
4月CPI公布，遵循价值投资，二线白酒涨价,3864,7,389,3.0,2017-05-11 12:05:46
46元的同伴还在吗？,5984,11,130,0.5,2017-05-23 09:53:56
华夏幸福(600340)融资融券信息(05-22),13346,7,540,0.0,2017-05-23 07:42:35
华夏幸福，可以超底[抄底][抄底][抄底],2959,3,81,3.5,2017-05-11 09:31:32
套在40以上还没走的有吗？,16352,36,142,3.0,2017-05-09 15:28:30
“全球技术-华夏加速-中国创造”模式结硕果！硅,16125,28,1394,0.0,2017-07-29 18:35:54
不要不识机会：华幸模式就是雄安发展的基本模式,7855,29,145,0.0,2017-07-06 09:42:46
韩志国再振臂高呼：今日收盘后政策未调整将重新,15586,13,627,3.0,2017-05-28 08:25:12
华夏幸福早已大手笔布局雄安新区,17300,9,632,2.5,2017-05-27 17:00:11
买入华夏就没有幸福过,11431,27,137,3.5,2017-07-13 14:31:31
周末发布业绩预增百分之五十到六十公告。同时国,32222,26,204,4.0,2017-07-21 17:42:43
有十分钟赚钱机会，二十分钟逃命机会，余下等死,6938,19,168,0.0,2017-07-27 09:27:31
重大事件，华夏被中国银河冻结资产，明天开始连,27550,22,225,0.0,2017-08-01 20:27:18
华夏幸福上涨的逻辑很简单前期出局机构急着回补,26848,16,243,4.5,2017-06-01 14:48:08
重大事项公告！牛B华夏幸福,16174,17,2155,3.5,2017-06-06 08:16:50
看好跟买～不看好就呵呵～盈亏自负滴么[大笑][,5745,2,178,3.5,2017-08-01 12:23:55
京津冀地产巨擘，华夏“千年大计”,94894,33,1271,0.0,2017-04-07 16:41:30
华夏幸福助力航天事业发展 作为中国领先的产业,10861,30,273,0.0,2017-07-31 18:29:25
600340:华夏幸福关于签订浙江德清雷甸产业新城P,81302,29,1909,0.0,2017-07-28 18:33:47
下周一低开低走，下周五28左右,11957,26,140,0.0,2017-07-28 19:41:27
**征婚,10330,15,152,2.5,2017-04-08 17:58:01
600340:华夏幸福关于控股股东股份质押解除的公,38010,15,703,0.0,2017-07-27 16:48:54
空仓几天了，趁着大盘暴跌，狂买了华夏幸福5万,20898,9,172,0.0,2017-07-17 20:11:23
华夏幸福迎来重大利好！,17993,8,621,3.5,2017-07-19 21:23:33
快快抢筹码！机构马上拉升火箭发射马上开始抢到,4287,7,982,4.0,2017-05-23 11:01:58
产业故事  就在华夏幸福香河机器人小镇，德国精,12965,39,1612,0.0,2017-07-26 16:38:05
首篇作证华夏幸福即将蓄势大涨的深度分析,177325,166,357,0.0,2017-06-05 12:50:22
华夏幸福:多头全部套死，空头汹涌澎湃！,8519,10,154,4.0,2017-07-27 10:55:13
本人预测8.18公告内容。广东、江浙沪等地项目落,13191,11,227,0.0,2017-07-27 19:12:59
华夏幸福:三大盘面信号凸显大量主力资金吸筹涌,7617,8,133,0.0,2017-07-26 20:24:55
华夏幸福16年销售额为1203亿，17年一季度为409,17183,17,275,3.0,2017-07-06 11:30:16
做长线的朋友们请注意了，现在的我们已经无路可,11423,20,331,0.0,2017-07-26 17:38:11
华夏幸福(600340)融资融券信息(07-25),10435,6,540,0.0,2017-07-26 07:40:09
600340:华夏幸福关于控股股东股份质押解除的公,49875,18,791,0.0,2017-07-25 16:41:25
咋回事儿？“固安县（县级）自然保护区”被撤销,15864,8,528,3.0,2017-07-25 19:49:22
都说了出事了，就是没人信,14264,18,134,0.0,2017-07-25 14:43:46
心痛的无法呼吸[哭][哭][哭]我都想重新投胎不要,11152,27,157,2.0,2017-07-17 14:21:59
浙江德清项目正式落地，异地复制有序推进,88294,7,1398,0.0,2017-07-12 08:30:14
今天走成这个样子，逆着主要板块逆着大盘，晚上,10553,12,204,3.5,2017-06-23 15:17:01
压盘是可以做到的，各股大股东都减持一部分给热,6854,44,201,2.5,2017-04-11 21:13:32
华夏幸福急需扩张股本,7000,9,413,3.0,2017-07-23 10:25:17
产服收入大部分是应收账款，政府是没钱支付的，,19439,30,333,0.0,2017-07-15 13:39:22
华夏幸福我的这个根据地一时半会是回不来了。 ,21579,26,222,3.5,2017-07-13 16:37:58
我买了个假50，高成长被套，价值投资也被套，国,9612,21,191,3.0,2017-07-15 10:14:27
高位急拉升是大跌前诱多！出货是一价格区域并不,27019,30,233,4.5,2015-11-18 11:48:12
论地产中的茅台--华夏幸福,17064,6,1494,2.0,2017-07-20 19:05:12
今天有可能要板板！,3110,9,128,3.5,2017-06-16 13:07:48
600340:华夏幸福2017年第九次临时股东大会会议,46509,6,1728,0.0,2017-07-20 18:44:02
600340:华夏幸福关于控股股东进行股票质押的公,55256,15,1007,0.0,2017-07-17 18:51:00
从华夏幸福来求证：天量见天价，对否？,12746,25,301,4.0,2017-04-15 16:15:32
劝君莫靠想像活，真理标准是不跌，跌就不是好股,7754,52,174,2.5,2017-07-16 07:28:09
南京银行、华夏幸福投资组合,20073,59,127,3.0,2017-04-06 06:39:04
警惕:停牌的时点，价位，重回25元，严防突然停牌,6536,18,620,3.5,2017-04-14 09:33:51
华夏幸福(600340)融资融券信息(07-14),14378,7,530,0.0,2017-07-15 07:41:10
未来以来，幸福不再遥远,8939,7,211,3.5,2017-07-15 09:16:39
清议：华夏幸福二季度简报分析,22242,9,1203,3.0,2017-07-15 13:16:55
私募内刊下周全进华夏幸福，行情已经到来了，赶,16528,12,172,0.0,2017-07-16 06:57:33
华夏幸福，周线macd高位死叉，5，10周均线即将,20294,37,206,2.0,2017-06-24 01:37:48
[满仓]漂亮50中国股市的心脏;沪深300中国股市的,4791,2,375,3.5,2017-07-15 17:07:23
华夏幸福究竟是一家怎样的公司,46881,48,2481,3.0,2017-05-18 09:47:39
华夏有5个大涨的理由！为什么不让我发？,5971,45,148,3.5,2017-06-18 15:05:32
~~发财了,3961,7,1309,3.5,2017-04-04 20:50:51
经营简报浅析和中报业绩预测,24292,28,903,0.0,2017-07-14 21:22:10
预测：本周末针对新股上市炒作和雄安板块恶炒将,35656,78,155,3.5,2017-04-14 14:08:01
那个大粪嘴张中秦就是脑壳好昏,8589,42,141,0.0,2017-07-11 21:55:08
冒死揭秘重大黑幕，华夏幸福还幸福吗,11601,14,2219,3.5,2017-06-07 07:07:52
坚定挖潜价值投资才是财富____________________,14111,37,491,4.5,2017-06-13 15:30:33
港资开始买入华夏幸福,23634,16,173,2.5,2017-07-11 09:56:48
600340:华夏幸福关于2017年度第五期超短期融资,32131,11,1058,0.0,2017-07-12 17:02:10
600340:华夏幸福关于设立下属公司的公告,34672,4,1079,0.0,2017-07-11 18:21:59
600340:华夏幸福关于下属公司竞得土地使用权的,43007,9,1297,0.0,2017-07-11 18:28:05
600340:华夏幸福关于本公司取得房地产项目的公,38570,9,1613,0.0,2017-07-11 18:21:33
恭喜今天建仓加仓的朋友，暴涨行情明日启动[赞],7258,27,153,0.0,2017-07-06 15:10:52
华夏幸福2017-6-9主力买入达到顶峰，之后就开始,4863,32,157,0.0,2017-07-02 23:23:50
7月7日华夏幸福要开股东大会，大家可在交易软件,14750,42,241,3.0,2017-07-05 09:56:16
昨天34买入100手华夏幸福，博今天红盘，但是今,27805,34,247,2.5,2017-06-30 17:58:21
你们诚惶诚恐的时候，我又把仓位加重了一倍。,2307,25,152,4.0,2017-06-28 10:32:13
华夏幸福(600340)大宗交易数据一览(06-27),60278,24,470,0.0,2017-06-27 18:20:01
多空双方最终求和，多方只得红脸，空方没让突破,5999,35,154,0.0,2017-07-02 20:07:11
今天表现很不错哦，很稳定，和往常有很大不同，,11624,24,244,0.0,2017-07-06 14:57:35
