标题,帖子数,日期,情感
一带一路最利好银行走的也熊样,3651,34,2016-10-28 10:24:36,0.5229387176449046
工商银行：前三季度净利2227.92亿 证金公司小幅,15250,27,2016-10-28 17:55:59,0.23549598827075668
工行我的最爱，3.00元买的保留至今，任凭股海风,19379,41,2016-06-20 16:52:38,0.9711223855702551
4000点高位高调救市,2638点低位低调到没救市声,16788,19,2016-01-29 09:52:57,0.9490092447999791
刘纪鹏：A股低迷因大盘股 能炒的起来是关键,12255,80,2016-03-30 16:02:21,0.021579853616238487
猜对有奖猜对有奖猜对有奖，都是人名，看看谁能,17159,27,2016-03-25 18:28:37,0.8659966063175839
G20峰会，亚运会，一带一路龙头一一腾达建设,10430,47,2016-05-29 18:27:19,0.47904546254674285
中国工商银行三季度净利润726亿元人民币,20142,4,2016-10-28 16:57:36,0.1927471737023998
抛！供给侧改革消产能去库存必增银行的呆坏帐98,30916,52,2016-01-12 10:07:02,0.19023272571871808
去年炒股亏了，空仓快一年了。。买点还是不买,6661,29,2016-10-22 17:21:40,0.21011634633952425
大家手里都有几支股票啊？,7339,60,2016-10-22 22:37:30,0.8962931707926574
有没有像我一样亏损割肉的,5431,19,2016-10-22 17:30:36,0.23082833962758653
去年炒股亏了，空仓快一年了,3120,10,2016-10-22 17:20:40,0.34350892591380644
嘎嘎嘎嘎,3126,17,2016-10-22 16:49:57,0.9574603716349326
为什么炒股赚钱这样难,2978,13,2016-10-22 16:52:57,0.08218913064133981
交通部仍是好事做不来，对司机严管过头。,4098,1,2016-10-21 01:01:20,0.2050636432206615
楼市见顶，股市见底的意义重大。,13701,8,2016-10-05 15:51:14,0.857962008753703
粘胶短纤价格暴涨了，关注：新乡化纤,9162,14,2016-07-24 07:37:51,0.36656147340507683
摩通：工行目标价看高至6.15元 评级“增持”,14800,6,2016-09-22 11:39:03,0.9085766692916382
证金减持工行都不用公告的吗，算上梧桐树的股份,21527,37,2016-03-31 08:12:36,0.7809218097908972
处理不良贷款，银行准备的充分吗,5854,2,2016-09-18 08:49:34,0.2473263819773407
各位觉得工行一年后会到多少价位？,69029,174,2016-06-03 14:29:49,0.9190879747107235
江苏首张“首付贷”罚单：工行苏州分行被罚25万,15261,62,2016-09-13 20:26:00,0.8402556375158569
大东南：石墨，锂电，手游，只卖3.89元,20373,134,2016-08-15 12:40:54,0.6652919520335581
建议证监会严查9.6日尾市打压工行为代表的蓝筹,12087,19,2016-09-06 19:24:16,0.658390247669033
对于我这个散户，稳中求胜就是王道啊,54819,3391,2016-08-15 10:54:52,0.7986060688973753
工商银行(601398)大宗交易数据一览(08-24),8361,6,2016-08-24 17:52:27,0.03336676948437822
国家队不让大盘涨。,7195,7,2016-09-06 14:47:59,0.5930366427300587
国家队。 请文明减持。,5100,6,2016-09-06 14:35:02,0.5586170988714128
一组让人醍醐灌顶 茅塞顿开的半年报数据。,9368,19,2016-09-02 08:43:24,0.9486259974634261
要想大家转变投资观念很简单,4171,4,2016-08-31 09:13:19,0.9772655220460025
中国资产规模最大银行工行上市10年分红6465亿元,14017,6,2016-08-29 14:19:17,0.8669672979361022
今天肯定又暴跌崩盘收大阴线了 !!!!!!!!!!!!!!!,12044,23,2016-07-07 12:12:46,0.37107167227689875
关于银行股，你确定没有被股评洗脑？,10309,16,2016-08-11 11:53:24,0.01205885763525183
大智慧告诉我们：九成以上股民没有大智慧。,7341,17,2016-08-14 10:45:11,0.9830048197993899
柳钢股份：从4.4元跌到3.62元，跌幅超20%[抄底],8324,26,2016-08-06 10:42:55,0.6024366142754369
工行回应13亿电子票据案：报道不实 已冻结可疑,13962,50,2016-08-11 20:43:45,0.49248117943296854
工行爆票据大案：被虚假材料骗签13亿电票,12472,43,2016-08-11 15:14:00,0.01875172508816436
消息称工商银行爆票据大案：被虚假材料骗签13亿,7878,6,2016-08-11 17:42:42,0.00018586418745003552
大盘大概在11点左右开始发飚!,14145,56,2016-08-10 10:34:34,0.13578045105625103
工商银行最终会3.5元附近！！！,22161,46,2016-03-13 14:46:26,0.014570234586326558
抛！工商银行A股价高溢价H股20%左右，同股同权,45959,75,2015-11-19 08:23:36,0.23935829584218005
去库存风险加压 工行严控商用房贷,25602,6,2016-07-03 03:38:07,0.7603141148367942
王石现身浙商银行大本营 避谈万宝之争会见神秘,235587,204,2016-01-10 12:08:36,0.9849637238508437
持有工商银行安全又赚钱,12902,14,2016-07-06 05:08:17,0.022262855912973722
好当家：转型大健康，大消费，大美丽产业，打造,34224,153,2016-06-08 19:13:16,0.9987554435023251
中签江苏银行的报到,我中到了！,8562,8,2016-07-22 11:14:26,0.2904410628687357
工商银行(601398)大宗交易数据一览(02-25),23654,14,2016-02-25 18:08:23,0.03336676948437822
工商银行(601398)大宗交易数据一览(02-19),16600,10,2016-02-19 17:54:57,0.03336676948437822
我分红不用交红利税,23311,22,2016-06-30 20:25:40,0.4106284640069068
工商银行(601398)大宗交易数据一览(03-10),11263,6,2016-03-10 17:56:26,0.03336676948437822
601398:工商银行关于执行董事辞任的公告,11494,3,2016-07-20 19:23:16,0.07386451438035868
