标题,帖子数,回帖数,时间,情感
毫不犹豫的满仓买入一一一一一一一一一一一一一,9620,35,2017-06-27 21:36:12,0.9814929074504102
判断：尾盘肯定崩盘收大阴线了 !!!!!!!!!!!!!!!,46073,134,2016-02-15 14:36:28,0.0845959550769455
今天竟然不护盘,4086,16,2017-07-06 13:26:10,0.11550378811135742
中石油转让中油珠海85%股权,38401,7,2017-07-03 01:52:35,0.05893956496633734
买入中石油加油不用愁一一一一一一一一一一一一,8041,22,2017-06-20 07:56:26,0.9989614816405891
审计署：部分央企业绩不实 近年虚增利润超200亿,10055,11,2017-06-23 22:51:04,0.15666548173464423
601857:中国石油2016年年度末期A股分红派息实施,53835,18,2017-06-15 18:48:21,0.6148717626632951
601857:中国石油关于国有股份无偿划转进展的公,15821,6,2017-06-27 16:59:35,0.19694867958757634
中国石油控股股东无偿划转公司4.4亿股A股给鞍钢,14092,6,2017-06-27 18:01:49,0.01650908938488871
石油银行保险证券 同比港股有些已经是明显贵了,,4513,4,2017-06-23 09:17:30,0.02016428855772523
证券日报 雄安规划方案编制即将提交 逾25亿低吸,4036,60,2017-06-08 09:00:05,0.45578024572740183
改委：国内汽、柴油价格每吨分别降低250和240元,7436,13,2017-06-23 17:49:30,0.38656669517953623
毫不犹豫的满仓买入一一一一一一一一一一一一一,20776,93,2017-06-10 21:39:04,0.9814929074504102
现在还活跃在股市的一千多万股民大都是股市赢家,1877,12,2017-06-03 07:53:08,0.9998113566112374
盲人摸象：如果还在成谜于经济下行货币紧缩A股,1644,15,2017-06-04 11:11:54,0.43358866642886384
火红六月，仓位满满，静待石油反转。,1829,13,2017-06-03 18:53:50,0.12298176542199979
中国石油化工开市前有一宗大手成交 涉资5,812.7,10647,3,2017-06-09 16:17:57,0.4677307099934823
国内新能源汽车的快速发展，,2875,1,2016-07-12 16:32:04,0.5848345496244226
告中国同胞们，全球最大股灾不久后就要发生了,5672,8,2017-06-11 15:09:10,0.28051542753115355
000709河钢股份今天开始将大幅拉升！铁矿石价格,4030,2,2017-06-13 13:27:13,0.916982819661936
热议近期券商翻几倍?MSCI将于6月20日公布是否纳,5820,13,2017-05-23 12:27:03,0.012219740014181024
中国石油的入手时机来了 从纯技术层面分析，中,7255,10,2017-06-11 20:44:15,0.9958978735304486
富人抄房，穷人抄股,4402,6,2017-06-13 11:49:29,0.08968950456091829
中国石油：王宜林被选为董事长将派发末期股息每,22689,8,2017-06-08 20:54:19,0.9684713394828144
肯定又崩盘啦 崩盘了 跌停了!!!!!!!!!!!!!!!!!!,226816,897,2016-01-05 09:03:28,0.1045652550689461
中国石油(601857)融资融券信息(06-08),4389,4,2017-06-09 07:45:43,0.5962429800784687
＄-＄证监会高层称部分公司靠“讲故事”操纵股,21856,57,2017-01-31 19:51:10,0.6445677997669002
公司日活动纪要和盈利预警,31826,14,2017-04-12 20:21:23,0.567207571266771
抛！经济恶化,拉股价，用人性贪婪，忽悠股民在,19151,34,2016-03-02 09:31:02,0.8250483988915179
再提醒,9313,34,2017-03-13 16:05:54,0.34165342421286704
中国石油集团拟将4.4亿股A股无偿划转给鞍钢集团,110252,86,2017-05-26 17:32:45,0.013392376030088693
真真假假 假假真真 不阴不阳 不男不女 中石油散,38168,92,2016-11-10 09:55:42,0.49977923560187776
=↘2=股价泡沫太大都透支了5~10年的业绩了！可,19629,56,2017-01-31 19:38:17,0.8418140338578063
汉奸 阉货 家努 人夭 爱资 中石油主力的标签 散,23335,57,2016-11-10 09:24:39,0.06188838804341845
=↘=1400倍高市盈率高市净率高股价高风险估值太,20689,56,2017-01-31 19:36:07,0.4850432822738592
=↘3=证监会高层称部分公司靠“讲故事”操纵股,25415,61,2017-01-31 19:57:41,0.6445677997669002
中石油拟向鞍钢无偿划转4.4亿股A股股份 价值34,55779,16,2017-05-26 22:44:42,0.06567740454958715
操盘中石油卖国汉奸们!麦皮埃儿迈出国的洋奴们!,23695,54,2016-11-10 09:34:09,0.005225936457391445
中国石油牵手中国铝业 两大央企发力新材料应用,32850,10,2017-05-25 03:12:20,0.7628254890008579
中国石油、中远海控、中国联通是大盘股的泡沫典,15871,25,2016-12-10 12:02:34,0.9923406742543226
判断：肯定又暴跌收大阴线无疑呀一一一一一一一,41422,182,2015-11-16 10:19:52,0.8997457304237786
中石油子公司为可燃冰试开采工程总承包商,26632,14,2017-05-19 14:56:29,0.7745738390509197
中国石油更名公告:根据银监会的同意，中国石油2,13036,23,2017-04-27 13:38:55,0.005721912789253936
这是准备消灭A股吗？这么大仇恨！,4927,47,2017-05-09 10:36:31,0.74917132213085
5月大盘极有可能大崩盘！,2649,43,2017-05-02 07:59:29,0.17562016255091983
好样的[赞],985,19,2015-09-16 14:25:47,0.9096018490786377
中石油受比特币勒索病毒波及 超8成加油站已重新,65695,9,2017-05-14 14:20:34,0.3542053295762697
601857:中国石油关于2016年年度股东大会增加临,31988,8,2017-05-05 16:21:17,0.5102442460325204
中石油现在乃建仓之良机，后市必定有大肉吃。要,76715,128,2017-01-07 17:55:48,0.14899594804904548
2015年《世界品牌500强》排行榜今天发布，中国,96330,103,2015-12-16 08:49:40,0.5364786000754633
证监会：请依法常态化治市！查处操纵股价的不法,25276,59,2016-08-17 11:16:33,0.5940759067451031
目前的股价下.我真的很看好中国石油股票 的前景,22257,54,2017-03-22 11:14:54,0.5296645250839638
