标题,帖子数,回帖数,时间,情感
再传合并 “神电”组合存变数,84251,27,2017-06-28 09:41:34,0.6528599816948664
中国神华7月4号是否能开盘,38227,26,2017-06-21 09:01:42,0.3856347706559966
38元以下散户没机会买回了。,17393,20,2017-06-10 18:28:52,0.38188146171144033
601088:中国神华2016年度股东周年大会决议公告,70455,11,2017-06-23 20:05:32,0.9767029616075777
央企国有资本运营公司整体上市、并购重组、资产,50353,94,2017-03-27 13:20:50,0.8744592158863063
此股节后有大动作，久居高位不下，大盘暴跌仍有,16364,11,2017-04-02 10:14:04,0.5259028906221431
煤电重组是利好吗？,12826,20,2017-06-05 21:39:20,0.3923293485266214
重组应该是神华.华能.国电,20073,34,2017-06-11 16:41:25,0.9089227436402801
股价上涨概率大！！！恭喜大家！！！,12777,28,2017-06-04 16:50:47,0.08432328267096334
神华国电合并猜想：各版块专业化重组是大趋势,102289,32,2017-06-21 14:24:28,0.611301239169385
神华与国电合并重组股价向国电靠拢,28105,51,2017-06-07 07:14:58,0.7445949247848757
冒死曝光中国神华详细方案！,14230,63,2017-06-06 12:57:12,0.9009171954480093
中国神华利好消息强势突袭，后市必将超乎想象!,6232,5,2017-03-21 00:11:40,0.9078120322297278
马上分红在即看高，中国第一在，坚持持有，看看,7321,51,2017-05-31 09:38:20,0.3695833992484915
中国神话,18670,77,2017-06-01 15:13:05,0.8728697002957693
中国神华：控股股东拟筹划重大无先例事项,62870,21,2017-06-19 02:30:06,0.7496422072983647
想一想就明白神华为啥那么大方分红？,23178,55,2017-06-05 21:33:26,0.8108801606569911
资金在流出，小心吧[不说了],14706,60,2017-05-25 10:38:43,0.37786771615231995
关注英力特，午后涨停,8390,56,2017-06-05 10:27:24,0.9426225852494491
~！！ 每波行情必然诞生一只次新妖股！这次是中,20099,20,2017-06-08 11:32:30,0.9994117925432926
601088:中国神华重大事项继续停牌公告,98673,19,2017-06-18 14:07:23,0.8556071380420525
