行情  sz300059
电子城(600658)  sh600658
福耀玻璃(600660)  sh600660
新南洋(600661)  sh600661
强生控股(600662)  sh600662
陆家嘴(600663)  sh600663
哈药股份(600664)  sh600664
天地源(600665)  sh600665
奥瑞德(600666)  sh600666
太极实业(600667)  sh600667
尖峰集团(600668)  sh600668
天目药业(600671)  sh600671
东阳光科(600673)  sh600673
川投能源(600674)  sh600674
中华企业(600675)  sh600675
交运股份(600676)  sh600676
航天通信(600677)  sh600677
四川金顶(600678)  sh600678
上海凤凰(600679)  sh600679
百川能源(600681)  sh600681
南京新百(600682)  sh600682
京投发展(600683)  sh600683
珠江实业(600684)  sh600684
中船防务(600685)  sh600685
金龙汽车(600686)  sh600686
刚泰控股(600687)  sh600687
上海石化(600688)  sh600688
上海三毛(600689)  sh600689
青岛海尔(600690)  sh600690
阳煤化工(600691)  sh600691
亚通股份(600692)  sh600692
东百集团(600693)  sh600693
大商股份(600694)  sh600694
绿庭投资(600695)  sh600695
欧亚集团(600697)  sh600697
湖南天雁(600698)  sh600698
均胜电子(600699)  sh600699
工大高新(600701)  sh600701
舍得酒业(600702)  sh600702
三安光电(600703)  sh600703
物产中大(600704)  sh600704
中航资本(600705)  sh600705
曲江文旅(600706)  sh600706
彩虹股份(600707)  sh600707
光明地产(600708)  sh600708
盛屯矿业(600711)  sh600711
南宁百货(600712)  sh600712
南京医药(600713)  sh600713
金瑞矿业(600714)  sh600714
文投控股(600715)  sh600715
凤凰股份(600716)  sh600716
天津港(600717)  sh600717
东软集团(600718)  sh600718
大连热电(600719)  sh600719
祁连山(600720)  sh600720
百花村(600721)  sh600721
金牛化工(600722)  sh600722
首商股份(600723)  sh600723
宁波富达(600724)  sh600724
华电能源(600726)  sh600726
鲁北化工(600727)  sh600727
佳都科技(600728)  sh600728
重庆百货(600729)  sh600729
中国高科(600730)  sh600730
湖南海利(600731)  sh600731
实达集团(600734)  sh600734
新华锦(600735)  sh600735
苏州高新(600736)  sh600736
中粮糖业(600737)  sh600737
