10倍pe总计：55只:
81.城投控股 10.9(pe) 1.46(pb)
82.首钢股份 19.81(pe) 1.47(pb)
83.招商银行 7.81(pe) 1.48(pb)
84.苏州高新 19.81(pe) 1.48(pb)
85.金地集团 16.42(pe) 1.49(pb)
86.深高速 13.9(pe) 1.49(pb)
87.时代出版 16.52(pe) 1.49(pb)
88.新钢股份 12.32(pe) 1.52(pb)
89.鲁 17.04(pe) 1.52(pb)
90.天富能源 13.95(pe) 1.53(pb)
91.长江传媒 15.57(pe) 1.53(pb)
92.穗恒运Ａ 17.74(pe) 1.54(pb)
93.海通证券 19.45(pe) 1.55(pb)
94.潞安环能 14.48(pe) 1.55(pb)
95.天保基建 10.77(pe) 1.55(pb)
96.大东方 11.6(pe) 1.56(pb)
97.辽宁成大 10.86(pe) 1.56(pb)
98.长安汽车 7.47(pe) 1.56(pb)
99.联发股份 18.9(pe) 1.56(pb)
100.兖州煤业 10.23(pe) 1.57(pb)
101.百联股份 18.36(pe) 1.58(pb)
102.滨江集团 12.16(pe) 1.58(pb)
103.冠城大通 9.58(pe) 1.59(pb)
104.桐昆股份 14.02(pe) 1.60(pb)
105.北辰实业 16.08(pe) 1.60(pb)
106.新 13.51(pe) 1.60(pb)
107.鄂武商Ａ 11.7(pe) 1.61(pb)
108.中国建筑 11.33(pe) 1.62(pb)
109.顺鑫农业 14.91(pe) 1.62(pb)
110.绿地控股 9.02(pe) 1.63(pb)
111.国泰君安 18.03(pe) 1.63(pb)
112.兴业证券 19.57(pe) 1.64(pb)
113.楚天高速 13.77(pe) 1.65(pb)
114.海螺水泥 15.08(pe) 1.65(pb)
115.首商股份 17.36(pe) 1.65(pb)
116.华孚色纺 15.73(pe) 1.65(pb)
117.广汇汽车 14.16(pe) 1.66(pb)
118.大商股份 9.04(pe) 1.66(pb)
119.步 17.26(pe) 1.66(pb)
120.广发证券 15.86(pe) 1.67(pb)
121.贵阳银行 9.55(pe) 1.68(pb)
122.国机汽车 12.34(pe) 1.69(pb)
123.马钢股份 9.67(pe) 1.69(pb)
124.上汽集团 11.08(pe) 1.70(pb)
125.唐山港 17.55(pe) 1.71(pb)
126.众业达 17.94(pe) 1.71(pb)
127.凌钢股份 13.91(pe) 1.72(pb)
128.京东方Ａ 14.35(pe) 1.72(pb)
129.大名城 16.78(pe) 1.73(pb)
130.五洲交通 10.56(pe) 1.73(pb)
131.陕天然气 10.95(pe) 1.73(pb)
132.友阿股份 13.29(pe) 1.74(pb)
133.粤泰股份 6.65(pe) 1.75(pb)
134.格力地产 12.61(pe) 1.76(pb)
135.华鲁恒升 15.41(pe) 1.76(pb)
136.奥康国际 16.3(pe) 1.76(pb)
137.华锦股份 10.93(pe) 1.76(pb)
138.合肥百货 14.52(pe) 1.77(pb)
139.东华软件 16.95(pe) 1.77(pb)
140.华域汽车 11.47(pe) 1.78(pb)
141.索通发展 7.98(pe) 1.78(pb)
142.松芝股份 17.16(pe) 1.78(pb)
143.滨化股份 13.01(pe) 1.79(pb)
144.烟台冰轮 18.28(pe) 1.79(pb)
145.中国电建 18.61(pe) 1.80(pb)
146.惠而浦 17.38(pe) 1.81(pb)
147.韶能股份 15.88(pe) 1.81(pb)
148.渤海轮渡 9.54(pe) 1.82(pb)
149.新疆天业 16.45(pe) 1.83(pb)
150.南方航空 13.55(pe) 1.88(pb)
151.一汽富维 13.97(pe) 1.88(pb)
152.九牧王 13.72(pe) 1.88(pb)
153.国投电力 15.03(pe) 1.89(pb)
154.昊华能源 10.71(pe) 1.90(pb)
155.西山煤电 17.71(pe) 1.93(pb)
156.青海华鼎 16.23(pe) 1.94(pb)
157.新世界 7.66(pe) 1.95(pb)
158.万业企业 18.6(pe) 1.95(pb)
159.梅花生物 13.4(pe) 1.95(pb)
160.天虹股份 12.73(pe) 1.95(pb)
161.会稽山 17.7(pe) 1.96(pb)
162.中泰化学 11.95(pe) 1.96(pb)
163.闰土股份 20.0(pe) 1.97(pb)
164.博汇纸业 10.87(pe) 1.98(pb)
165.宁波华翔 13.99(pe) 1.98(pb)
166.商业城 3.96(pe) 11.39(pb)
167.恒源煤电 10.57(pe) 2.00(pb)
168.东方航空 8.92(pe) 2.01(pb)
169.威孚高科 10.55(pe) 2.01(pb)
170.景兴纸业 13.2(pe) 2.01(pb)
171.孚日股份 13.0(pe) 2.04(pb)
172.海峡股份 19.05(pe) 2.04(pb)
173.浙江东方 19.24(pe) 2.06(pb)
174.宁沪高速 13.5(pe) 2.06(pb)
175.山鹰纸业 10.46(pe) 2.06(pb)
176.天健集团 13.41(pe) 2.06(pb)
177.浙江龙盛 16.75(pe) 2.07(pb)
178.川投能源 13.65(pe) 2.07(pb)
179.荣盛石化 16.58(pe) 2.07(pb)
180.中百集团 15.1(pe) 2.11(pb)
181.中天科技 19.76(pe) 2.12(pb)
182.中国国旅 19.7(pe) 2.13(pb)
183.红蜻蜓 19.66(pe) 2.13(pb)
184.XD盘江股 13.18(pe) 2.14(pb)
185.厦门空港 18.06(pe) 2.16(pb)
186.富奥股份 13.21(pe) 2.16(pb)
187.粤高速Ａ 16.28(pe) 2.17(pb)
188.骅威文化 19.65(pe) 2.19(pb)
189.上海医药 18.02(pe) 2.20(pb)
190.经纬纺机 14.11(pe) 2.20(pb)
191.辉丰股份 13.32(pe) 2.20(pb)
192.新洋丰 13.32(pe) 2.22(pb)
193.重庆百货 7.66(pe) 2.23(pb)
194.华润双鹤 19.77(pe) 2.24(pb)
195.红 17.44(pe) 2.24(pb)
196.易见股份 18.79(pe) 2.26(pb)
197.珠江实业 13.13(pe) 2.26(pb)
198.吉祥航空 15.13(pe) 2.26(pb)
199.明家联合 18.93(pe) 2.26(pb)
200.旗滨集团 15.04(pe) 2.27(pb)
201.中国巨石 16.66(pe) 2.28(pb)
202.惠天热电 16.19(pe) 2.29(pb)
203.常熟银行 18.36(pe) 2.30(pb)
204.中国平安 10.3(pe) 2.31(pb)
205.中国重汽 17.4(pe) 2.31(pb)
206.家家悦 19.76(pe) 2.32(pb)
207.陕西煤业 8.16(pe) 2.33(pb)
208.皖通高速 17.91(pe) 2.34(pb)
209.紫江企业 5.6(pe) 2.34(pb)
210.华光股份 18.15(pe) 2.36(pb)
211.中天金融 10.13(pe) 2.39(pb)
212.曙光股份 4.36(pe) 2.40(pb)
213.重庆水务 15.11(pe) 2.41(pb)
214.长城汽车 15.34(pe) 2.43(pb)
215.恒逸石化 15.49(pe) 2.43(pb)
216.康力电梯 18.06(pe) 2.44(pb)
217.健康元 18.36(pe) 2.46(pb)
218.华电能源 8.64(pe) 2.47(pb)
219.东莞控股 15.48(pe) 2.49(pb)
220.南钢股份 8.12(pe) 2.51(pb)
221.新华百货 17.43(pe) 2.52(pb)
222.太阳纸业 12.17(pe) 2.55(pb)
223.劲嘉股份 17.25(pe) 2.57(pb)
224.上海梅林 12.0(pe) 2.59(pb)
225.尖峰集团 14.34(pe) 2.62(pb)
226.青岛啤酒 19.15(pe) 2.63(pb)
227.中文传媒 15.94(pe) 2.64(pb)
228.红阳能源 9.93(pe) 2.64(pb)
229.新集能源 17.52(pe) 2.68(pb)
230.金正大 15.17(pe) 2.68(pb)
231.温氏股份 17.46(pe) 2.68(pb)
232.招商蛇口 18.77(pe) 2.72(pb)
233.金 14.85(pe) 2.72(pb)
234.张 11.59(pe) 2.74(pb)
235.上海石化 9.52(pe) 2.75(pb)
236.罗莱生活 16.89(pe) 2.75(pb)
237.嘉化能源 13.98(pe) 2.77(pb)
238.阳光照明 19.65(pe) 2.79(pb)
239.长江通信 14.65(pe) 2.79(pb)
240.三钢闽光 13.19(pe) 2.79(pb)
241.柳钢股份 16.73(pe) 2.80(pb)
242.三友化工 11.48(pe) 2.81(pb)
243.天康生物 17.91(pe) 2.81(pb)
244.皖新传媒 10.4(pe) 2.83(pb)
245.亚邦股份 14.53(pe) 2.85(pb)
246.新奥股份 18.45(pe) 2.86(pb)
247.科达洁能 17.7(pe) 2.96(pb)
248.富临运业 17.84(pe) 2.96(pb)
249.龙蟒佰利 16.35(pe) 2.96(pb)
250.青青稞酒 18.71(pe) 2.96(pb)
251.文山电力 13.4(pe) 3.01(pb)
252.华夏幸福 13.35(pe) 3.02(pb)
253.金徽酒 15.18(pe) 3.02(pb)
254.茂业商业 15.78(pe) 3.04(pb)
255.瑞茂通 14.05(pe) 3.09(pb)
256.万和电气 18.73(pe) 3.09(pb)
257.华联控股 4.25(pe) 3.12(pb)
258.青岛海尔 12.75(pe) 3.13(pb)
259.西水股份 4.48(pe) 3.14(pb)
260.华润三九 18.81(pe) 3.14(pb)
261.海亮股份 18.22(pe) 3.25(pb)
262.东风股份 15.26(pe) 3.34(pb)
263.山东海化 7.35(pe) 3.35(pb)
