标题,阅读,评论,字数,影响力,时间
农业银行(601288)融资融券信息(03-29),3171,5,540,0,2017/3/30 7:48
压缩个人房贷规模、辉山乳业涉贷2亿多…农行业,5875,4,2280,0,2017/3/29 23:19
农行一季报肯定超乎想象的好,11438,9,253,3.5,2017/3/29 12:29
瑞银：农行资本水平较弱 维持“卖出”评级,10138,9,432,0,2017/3/29 12:24
农业银行2016年盈利1839亿元 拟10派1.7元,25273,13,273,0,2017/3/29 9:10
农行2016年中间业务收入增逾10%,6346,9,421,0,2017/3/29 9:05
2017年超级大牛行情将于清明节过后全面启动！领,6927,8,286,3,2017/3/28 22:38
农业银行去年纯利1839.41亿人币升2%  派息17分,18331,8,246,0,2017/3/28 22:04
601288:农业银行2016年资本充足率报告,10924,3,1440,0,2017/3/28 21:55
有谁能斗胆猜测一下农行的分红是多少？,14557,26,146,0,2017/3/28 14:32
价值投资者抄底后就等坐轿---笑看江湖,8709,15,176,3.5,2017/3/27 18:04
农行应向中国神华学习、做好今年的利润分配,6031,12,116,2,2017/3/24 22:59
小散，多张张心吧！,6177,12,197,3.5,2017/3/23 23:41
农行要大涨，不信我的会吃大亏,5266,6,138,3.5,2017/3/23 17:53
农行现3.24元的动态市净率比前期股灾底部2.74元,13350,14,305,3.5,2017/3/23 6:40
强烈要求农行高比例现金分红，每股最少0.2元以,16969,31,252,0,2017/3/20 18:53
从中国神华土豪式分红看中国股市。 如果有条件,10779,12,489,3,2017/3/18 12:15
601288:农业银行H股公告(董事会会议召开日期),19068,7,596,0,2017/3/16 18:08
包括农行等极其低估的股票并不适宜价值型投资人,28709,32,510,3.5,2017/3/16 0:50
石墨烯、量子通信两大黑科技领域先得实惠上市公,5975,7,1380,3.5,2017/3/15 17:25
农业银行(601288)融资融券信息(03-13),4703,4,538,0,2017/3/14 7:45
国庄股,207410,735,129,0,2017/3/13 13:10
长线看空农行没有任何理由,13891,16,304,3.5,2017/3/13 12:34
谈投资,19836,77,536,3.5,2017/3/11 18:00
恶意打压四大行的主力应该被灭绝,9247,21,198,3.5,2017/3/10 17:02
农业银行(601288)大宗交易数据一览(03-09),9342,2,473,0,2017/3/9 18:12
农业银行(601288)融资融券信息(03-08),5356,3,540,0,2017/3/9 7:47
目前股息率超过5%的银行股只剩下农行,25723,28,321,3.5,2017/3/7 22:02
我3.24元买了7000股农行股票。5年后，也就是192,15054,21,210,0,2017/3/7 21:02
农业银行(601288)大宗交易数据一览(03-07),9025,5,473,0,2017/3/7 18:18
农行与甘肃公航旅集团共设100亿元股权投资基金,12534,3,555,0,2017/3/3 19:38
我是精神病，完毕,10548,17,126,3.5,2017/3/3 12:17
抢盘了，抢盘了，黄金砸头！晨鸣投资价值第一股,17488,39,821,4.5,2017/3/2 21:51
601288:农业银行优先股二期2016-2017年度股息发,47129,15,1091,0,2017/3/2 16:51
消灭五大国有银行长期严重破净现象的建议和措施,8149,13,792,3.5,2017/3/1 17:07
农业银行3月底披露年报，每股0.55元，分现金0.1,13633,10,131,3,2017/3/1 14:37
长期持有农业银行，必有厚报！ 2016.12.9  第一,49547,75,238,2,2017/2/27 19:31
哪一路垃圾如此疯狂倒仓打压农行,17815,22,210,3.5,2017/2/20 16:50
存在的，即是合理的。,8756,12,484,3.5,2017/2/18 16:18
还能涨多高？,24577,63,238,3.5,2017/2/16 15:26
中金:农业银行为流动性紧缩最大受益者加入“确,12262,5,692,0,2017/2/15 21:32
做巴菲特式的投资人，买入银行股,27132,57,620,3.5,2017/2/15 19:29
好吧，我出点力，让农行这周到3.4元,6318,9,201,3.5,2017/2/14 21:29
农行目标价6.5，让我们把帖子顶起来，等待这一,16028,45,158,3.5,2017/2/12 14:14
未爆吵之军融股,18134,140,109,3,2017/2/7 14:32
实战炒股口决：    十四工作线，不破不走人。短,22515,24,694,4,2017/2/2 11:12
第一；   我们用金钱接过了无数前辈的抢，使农,32473,55,416,0,2017/1/30 7:42
最能套住人的十五句话: 1、目前价位接近主力成,26336,30,630,4,2017/1/29 12:14
大家帮我算算，一年分0.15元，10年是不是1.5元,41203,71,215,2.5,2017/1/23 23:31
股市总有翻倍的机会 “狂人日记”,25585,43,1409,3.5,2017/1/22 13:49
601288:农业银行董事会决议公告,50866,10,824,0,2017/1/13 18:58
《大腕》农业银行版,16741,33,740,3.5,2017/1/10 11:02
为实现婵联A股倒数第一的冠军梦想，农行一直在,23336,71,160,2.5,2017/1/9 15:15
农业银行，2016年总结与2017年展望！,32195,23,336,2.5,2017/1/2 21:21
3.10元买来入充当市值认购新股,16355,17,288,3.5,2016/12/31 13:31
恶意打压操纵农业银行股价的主力就是垃圾,11049,25,277,3.5,2016/12/21 18:00
10万农业股，4元成本，大家帮我分析一下几年能,93074,111,176,2,2016/12/20 12:23
李迅雷不合时宜谈什么资本利得税,5116,5,467,3.5,2016/12/20 0:02
持有100万元（31万股）农行10年的获利分析,17083,9,351,3.5,2016/12/15 9:00
农业银行(601288)大宗交易数据一览(12-08),10104,9,489,0,2016/12/8 18:14
所有银行股里面农行股票是最没有投资价值的领导,18487,34,249,3.5,2016/12/8 11:13
农业银行(601288)大宗交易数据一览(12-07),7528,5,475,0,2016/12/7 18:05
股票投资是一个高风险的职业，同时他又是一个高,4813,7,428,3,2016/11/26 21:34
601288:农业银行关于对外投资设立全资子公司的,24363,10,971,0,2016/11/22 18:47
农业银行不良负债率极为严重，铁定五年内不可能,39600,95,195,2.5,2016/11/18 13:51
操纵四大银行股股价天理难容,7499,9,235,3.5,2016/11/15 16:50
“谢百三说不买四大行”的观点是错误的,17308,19,276,3.5,2016/11/11 18:49
农行在美被罚巨款的事居然没人提，太不可思议了,14487,14,166,2,2016/11/6 0:40
深资产质量风险依然存在,28025,5,964,0,2016/11/3 17:47
总轿,99826,345,150,3,2016/11/2 15:57
中证金减持严重破净的四大行，公众如何能理解？,8971,10,491,3.5,2016/11/2 9:05
拓展主业务风光独好 冲刺黑科技金光灿烂（共享,19035,34,3629,3.5,2016/11/1 16:14
601288:农业银行优先股一期2016年股息发放实施,35978,7,1233,0,2016/10/28 23:02
601288:农业银行监事会决议公告,17687,3,681,0,2016/10/28 23:01
农业银行前三季度净利润增长0.52% 证金小幅减持,22035,8,1038,0,2016/10/28 21:29
国家社保基金靠自己到底赚多少钱？,7013,10,255,3.5,2016/10/26 18:43
远兴能源：填权趋势确立，买入就翻倍,8169,7,85,4,2016/10/18 20:53
农业银行荣获多项大奖,12708,5,479,0,2016/10/11 0:44
有许多人一直私信给我谈到股票买了股票后眼看着,24965,565,287,3,2016/10/10 12:55
601288:农业银行H股公告(股份发行人的证券变动,36601,3,847,0,2016/9/30 21:22
美联储局要求农行纽约分行改善反洗钱管控,11199,4,211,0,2016/9/30 12:44
农业银行开市前有一宗大手成交 涉资6710万元,11714,7,172,0,2016/9/28 9:49
摩通：农行目标价看高至3.7元 评级“增持”,17732,8,337,0,2016/9/22 11:46
601288:农业银行董事辞职公告,22406,2,510,0,2016/9/14 19:04
作为货币政策委员会委员，请问樊纲你的数据从何,15940,29,326,3.5,2016/9/9 11:42
601288:农业银行H股公告(股份发行人的证券变动,19093,7,846,0,2016/9/5 17:20
农行收入微跌 利润增长。一组半年报数据或许让,14244,13,1049,3.5,2016/9/2 8:49
银行业寒冬已至？农行营收负增长 招行裁7768人,18634,4,1547,0,2016/8/31 8:51
中国农业银行上半年净利润增长0.5%,8739,5,338,0,2016/8/29 5:23
有个人到底懂不懂价值？,16958,30,282,3.5,2016/8/28 17:05
居民为何拼命买房？银行为何偏爱房贷？看农行建,27172,6,2080,0,2016/8/26 22:45
农行上半年净利润增长0.5% 不良率2.4%,24526,10,493,0,2016/8/26 17:57
农业银行净利息收入减少9.4%至1989.57亿元,10060,6,716,0,2016/8/26 17:09
农业银行，提前介入这些股，稳赚不赔！,5768,2,197,3,2016/8/25 19:48
打倒股息差别税！,7457,12,528,3.5,2016/8/25 16:04
四大银行要想做大做强不落后，就要提振股价！,10165,10,879,3.5,2016/8/24 20:45
不多说 今年春节前9元农行等着你,16654,20,138,3,2016/8/20 9:12
继续利好,15660,38,118,2,2016/8/16 9:05
大东南：石墨，锂电，手游，只卖3.89元,21957,128,91,4,2016/8/15 12:39
大智慧告诉我们：九成以上股民没有大智慧。,6838,12,451,3.5,2016/8/14 10:46
农业银行(601288)融资融券信息(08-11),4126,6,532,0,2016/8/12 7:39
有的人根本不了解价值投资者,11659,10,545,3.5,2016/8/8 19:56
柳钢股份：从4.4元跌到3.62元，跌幅超20%[抄底],9378,34,103,4,2016/8/6 10:40
江苏银行再来三五连板对垃圾股炒家的心理震撼,8937,12,356,3.5,2016/8/2 11:35
农行发不良资产证券化最大单 入池资产高达100亿,17023,23,2521,0,2016/7/30 0:39
有直销经营的好当家，只卖4.07元的价格[赚大了],32877,98,155,4,2016/7/29 21:58
我非常非常爽歪歪,8600,8,197,3.5,2016/7/27 4:59
最大单不良ABS来袭 农行本周五发行30.64亿,19889,12,2029,0,2016/7/25 7:06
基金抱团炒个股是中国式庞氏骗局，隐患危害大28,30480,36,333,4,2016/7/22 8:55
我不看好江苏银行,11458,10,102,3.5,2016/7/20 7:59
农行股对我的作用。 1，存住股市利润 2，定投，,55156,98,242,2,2016/7/15 0:04
美股创二百多年来历史新高,4904,15,134,4,2016/7/12 22:22
农行甩掉不良贷的包袱是好事!,7810,9,341,4,2016/7/11 8:13
农业银行不良资产证券化发行在即 规模或将高达3,32380,186,1575,0,2016/7/10 0:58
农业银行 你分红分的是什么红！！！,21790,28,224,1.5,2016/7/8 9:01
