标题,阅读,评论,字数,影响力,时间
中石油拟向鞍钢无偿划转4.4亿股A股股份 价值34,56240,16,1033,0.0,2017-05-26 22:44:42
操盘中石油卖国汉奸们!麦皮埃儿迈出国的洋奴们!,23828,54,179,3.0,2016-11-10 09:34:09
中国石油牵手中国铝业 两大央企发力新材料应用,33192,10,858,0.0,2017-05-25 03:12:20
中国石油、中远海控、中国联通是大盘股的泡沫典,15999,25,440,3.5,2016-12-10 12:02:34
判断：肯定又暴跌收大阴线无疑呀一一一一一一一,41505,182,206,4.5,2015-11-16 10:19:52
中石油子公司为可燃冰试开采工程总承包商,27027,14,332,0.0,2017-05-19 14:56:29
中国石油更名公告:根据银监会的同意，中国石油2,13180,23,141,2.5,2017-04-27 13:38:55
这是准备消灭A股吗？这么大仇恨！,4975,47,142,0.0,2017-05-09 10:36:31
5月大盘极有可能大崩盘！,2705,43,134,0.0,2017-05-02 07:59:29
好样的[赞],1014,19,119,3.0,2015-09-16 14:25:47
中石油受比特币勒索病毒波及 超8成加油站已重新,66023,9,793,0.0,2017-05-14 14:20:34
601857:中国石油关于2016年年度股东大会增加临,32075,8,1753,0.0,2017-05-05 16:21:17
中石油现在乃建仓之良机，后市必定有大肉吃。要,76874,128,217,2.5,2017-01-07 17:55:48
2015年《世界品牌500强》排行榜今天发布，中国,96518,103,216,3.5,2015-12-16 08:49:40
目前的股价下.我真的很看好中国石油股票 的前景,22451,54,305,0.0,2017-03-22 11:14:54
判断:肯定暴跌崩盘崩盘了一一一一一一一一一了,13234,72,389,4.5,2016-01-28 09:23:51
=↘=400倍高市盈率高市净率高股价高风险估值太,6220,11,865,4.0,2017-01-31 19:34:31
中国石油与“一带一路”沿线19个国家进行50个项,15428,8,837,0.0,2017-05-08 10:53:58
昨天我已经举报过，有机构非法拉升中石油。今天,8235,21,174,0.0,2017-05-05 14:51:17
请证监会查一下，哪个sb在操纵指数！,6800,12,146,0.0,2017-04-21 18:13:13
601857:中国石油关于召开2016年年度股东大会的,16654,6,146,0.0,2017-04-20 18:51:28
大胆潜伏: 怎么跌的就会怎么涨上去（荐股）,6789,9,957,4.0,2017-02-18 11:21:30
601857:中国石油2017年第一季度报告,31585,5,488,0.0,2017-04-27 21:10:14
由于天朝的资深舵主更爱绿化！高叫不搞绿化者牢,34350,65,171,4.0,2016-12-12 20:03:41
中石油管好了，A股就好了！ 龙头耍诈，其罪当株,6373,4,164,4.0,2017-04-21 18:11:51
601857:中国石油2016年年度业绩预告,67442,23,938,0.0,2017-01-25 16:58:03
4.0工业革命凸起黑科技受惠的上市公司（转）,9028,20,3114,3.5,2017-04-03 12:48:29
你妈逼，A股太假了，国家做庄也太明显了,7372,4,148,3.5,2017-04-21 23:48:38
有人利用中国石油操纵股市，要严惩。,5090,9,144,2.5,2017-04-21 15:00:54
2016年中石油获政府补助逾57亿元 175家公司获政,32371,6,1589,0.0,2017-04-19 02:33:42
紧急公告：立即抢购处于历史最低价的金钼股份60,8927,21,275,2.0,2016-01-28 23:24:45
精准预测即将飙涨的大牛，附图参考,173817,522,142,4.0,2016-11-10 07:38:16
巴菲特说的，四处举债的不是好公司，不要令股民,4183,56,160,1.0,2016-03-19 19:42:04
中石油，你到底是价值投资标杆还是护盘利器？,6575,19,164,0.0,2017-04-17 15:01:18
601857:中国石油关于公司股东拟发行可交换公司,23868,10,722,0.0,2017-04-07 16:43:46
天津出台新政：推进京津冀企业迁移便利化 2017,3830,15,865,3.5,2017-04-08 13:40:08
油气改革方案出台倒计时 中石油重整天然气市场,21281,9,2026,0.0,2017-04-10 06:06:47
中石油一季度预计盈利超50亿 受益国际油价上涨,18286,18,367,0.0,2017-04-08 16:47:53
“三桶油”冷暖各不同：中石油年报惨淡 净利创,16589,22,1337,0.0,2017-03-31 06:53:16
601857：4月份看高8.8元附近。,13148,23,141,3.5,2017-03-24 01:53:44
那个河北什么新区，与中国石油有何关系？？？？,9699,11,168,1.5,2017-04-03 17:02:21
“三桶油”晒年度成绩单 业绩冰火两重天,36552,24,2999,0.0,2017-04-03 02:21:54
中国石油：2016年净利润79亿元 拟每股派息3.8分,26686,78,534,0.0,2017-03-30 17:06:12
中国石油：预计一季度利润同比增超200亿,22035,16,311,0.0,2017-03-30 18:10:34
《万向帝国》渡有缘人，共同分析潜力低位个股！,6513,15,145,2.5,2016-11-24 21:43:58
中石化派息率64.6%现金分红创新高 保持勘探力度,11110,5,784,0.0,2017-03-27 10:52:03
瑞信：预计中石油中移动等或将派特别息,22139,11,455,0.0,2017-03-20 15:58:03
呵呵杀人的，千万别买,1820,29,130,3.0,2015-08-24 14:23:14
数据告诉你，买卖由你定,4128,4,490,4.0,2017-03-20 18:38:36
分析,8960,32,196,3.0,2015-12-17 09:30:07
两大黑科技领域中率先得实惠的上市公司,5909,11,1375,3.5,2017-03-15 17:45:47
本人认为现在买入中国石油等于在捡钱，坚定持有,15077,22,208,3.5,2017-03-17 18:49:01
今起正式推荐中石油,21400,39,136,2.0,2017-03-09 13:26:56
油价大跌 中石油瘦身提速,16373,10,1958,0.0,2017-03-18 02:05:41
弹指间、八万亿市值灰飞烟灭。可悲可叹！老夫夜,5536,14,214,3.5,2017-03-17 17:42:42
中石油快刀剥离不良资产 为混改和专业化重组铺,20450,8,2037,0.0,2017-03-16 01:57:35
四川省政府与中石油、中国中铁等战略合作,19347,8,301,0.0,2017-03-15 20:36:42
什么帖子都是浮云: 只有卡恩博士2关于阴阳人人,7434,15,153,2.5,2016-12-15 14:50:00
跟风国资委主任肖亚庆看国改（附最全央企国企国,59494,12,4706,0.0,2017-03-10 15:58:28
