标题,阅读,评论,字数,影响力,时间
理论上没有创新高，实际上已经创新高了！因为之,22894,23,240,3.0,2017-06-08 15:18:43
《炒股日记》（6月16日，周五）,9623,9,1341,4.0,2017-06-16 15:45:33
方正证券  逆天了,39000,23,105,0.0,2017-05-26 18:04:45
《炒股日记》（6月8日，周四）,8090,19,1332,4.0,2017-06-08 15:50:54
买入上海石化(600688),141940,210,9727,3.5,2016-06-14 10:40:37
早就说了是证金左手倒右手，还有人相信是港资买,18703,17,159,3.0,2017-06-09 15:17:29
坚决做空围歼港仔,8497,28,200,0.0,2017-05-23 21:33:21
请教：港资为什么要获得方正证券的股权？谢谢。,36024,30,154,0.0,2017-06-08 21:03:18
港资持股日期:  09/06/2017,15369,9,353,2.0,2017-06-11 07:41:00
难熬吧？哈哈哈，还早着呢，起码还要蹂躏3个月,23662,55,237,0.0,2017-04-28 15:12:01
《炒股日记》（6月6日，周二）,8167,13,1310,4.0,2017-06-06 16:45:27
601901:方正证券2017年5月财务数据简报,52124,8,620,0.0,2017-06-06 18:28:35
方正证券8月8日有20亿股要解禁，难道港资不知道,23522,31,127,0.0,2017-06-02 18:56:01
港资持股日期:  01/06/2017,13744,13,288,2.0,2017-06-02 09:36:16
今天卖了三十万股做空,13556,32,122,0.0,2017-05-17 22:33:41
内资港资一起抢筹，还有多少小散可以分享小方这,8798,21,162,0.0,2017-06-02 15:32:49
8月8日解禁会不会像第一创业一样啊,12796,18,144,0.0,2017-06-03 16:30:22
今天满仓方正了听天由命吧,15673,21,130,0.0,2017-06-01 15:49:44
《炒股日记》（6月2日，周五）,8606,8,1322,4.0,2017-06-02 15:50:44
小方必将砸破8元，不要在心存侥幸了！,52571,120,150,0.0,2017-03-23 00:26:35
《炒股日记》（6月1日，周四）,9147,18,1311,4.0,2017-06-01 16:38:40
《炒股日记》（5月31日，周三）,11051,37,1233,4.0,2017-05-31 15:22:19
《炒股日记》（5月23日，周二）,19817,40,1253,4.0,2017-05-23 15:59:15
市场预计或有4000亿元左右资金将先期逐步入场,7387,135,156,0.0,2016-12-20 17:07:30
有股的坚定持有，无股的暂时别买，等调整完了再,21121,155,23,2.5,2017-05-22 14:26:58
涨速决定上升空间！,4188,24,145,0.0,2017-05-24 11:05:26
601901:方正证券关于召开现金分红说明会的公告,56764,25,1261,0.0,2017-05-25 18:55:45
曾购买方正证券（601901）符合索赔条件的股民可,19476,38,228,2.0,2017-04-14 14:52:24
券商，俺 只买--方正证券！,8138,10,98,4.0,2017-05-23 13:55:04
港资持股日期: 24/05/2017,8594,9,157,2.0,2017-05-25 07:22:19
一点看法，写给小芳。,14943,20,380,0.0,2017-05-23 16:10:16
外资的思维真厉害，9快震仓之后把8.5-9快的仓为,4743,0,210,2.5,2017-05-23 15:21:38
买证券不如买银行和保险。,1249,1,134,0.0,2017-05-23 15:11:53
五倍杠杆已经获利。,1511,0,128,3.5,2017-05-23 14:57:27
这次要来真的，保险银行石油万科集体上啦,1241,0,148,2.5,2017-05-23 13:39:15
方正业绩和其他券商比感觉没有什么特别优势，为,2875,4,190,2.0,2017-05-23 14:21:47
601901:方正证券关于设立公益基金会暨确定对外,24844,14,1415,0.0,2017-05-19 16:30:37
中国银行香港公司，新加坡银行分别持有4%以上股,18269,18,101,1.5,2017-04-13 09:14:27
大数据来说话，观察下港资在1901小方的动向！,13842,6,445,1.5,2017-05-20 17:13:01
方正证券(601901)融资融券信息(05-08),3995,5,530,0.0,2017-05-09 07:51:32
方正走势稳健，做空极度危险,11712,14,454,2.5,2017-05-18 17:11:26
方正证券敲定与南都电源合作 共构产融结合新格,25502,7,1082,0.0,2017-05-19 13:52:06
假如开通T加0，方正最少涨十倍，养小三就靠方正,11397,16,25,2.5,2017-05-19 17:40:36
5月19日 港资做多上证50股指期货 中国股市又让,8393,7,198,3.5,2017-05-19 10:27:14
《炒股日记》（5月18日，周四）,8039,32,1415,4.0,2017-05-18 16:29:58
《炒股日记》（5月22日，周一）,8534,21,1472,4.0,2017-05-22 16:09:56
《炒股日记》（5月19日，周五）,10712,22,1355,4.0,2017-05-19 16:31:28
马云联合赵薇入股方正证券，赵薇融资20亿，马云,57437,28,203,2.5,2017-02-17 13:42:40
601901:方正证券关于公开征集董事候选人的公告,14055,4,1757,0.0,2017-05-19 16:29:46
香港方面的资金源源不断啊,20794,25,139,0.0,2017-05-12 00:39:13
5月12日港资再买1.66亿元，谁还在卖？,19805,28,192,2.5,2017-05-12 18:37:04
如果取消想跌停板，恢复T+0，还敢有杠杆吗？你,4144,8,254,3.5,2017-05-14 21:31:14
港资持股日期: 17/05/2017,7489,9,157,2.0,2017-05-18 08:02:50
601901:方正证券2016年非公开发行次级债券(第二,21859,6,2000,0.0,2017-05-17 19:03:52
方正证券 周一又将掀起腥风血雨,37443,159,81,0.0,2016-11-19 13:58:44
券商板块快速拉升 方正证券涨近7%,30917,8,205,0.0,2017-05-17 10:22:37
《炒股日记》（5月16日，周二）,9055,15,1287,4.0,2017-05-16 15:42:53
上周惨败的教训,11492,11,273,4.0,2017-05-15 11:08:24
24家券商超3成分红手不软 唯方正证券2年未分1厘,63457,21,2429,0.0,2017-05-15 07:55:07
本周战绩（惨败）,8921,14,732,4.0,2017-05-13 16:40:02
方正业绩及大金融噱头是后市领跑的关键,23664,24,231,3.0,2017-04-01 09:45:52
港资持股,9955,11,143,2.0,2017-05-12 13:24:53
《炒股日记》（5月8日，周一）,8361,20,1471,4.0,2017-05-08 15:43:55
看看港资接走了谁的筹码。,15507,19,846,2.5,2017-05-10 18:06:28
方正为什么抗跌？散户看过来,10757,15,524,2.5,2017-05-11 18:13:15
《炒股日记》（5月10日，周三）,7583,23,1298,4.0,2017-05-10 15:22:56
方正系4家公司收到证监会处罚决定书：信披违法,19844,25,2586,0.0,2017-05-09 21:53:27
截至本周五收盘港资持股比例，如下图！,23949,45,265,0.0,2017-05-06 07:13:48
针对券商股均线龙头《方正证券》的个人观点 首,27304,38,495,3.5,2017-05-04 15:22:38
601901:方正证券关于媒体报道相关情况的公告,34779,9,887,0.0,2017-04-21 23:45:23
601901:方正证券关于公司被立案调查事项相关情,45766,15,851,0.0,2017-05-05 20:58:10
方正证券：收到证监会处罚决定书,15604,7,299,0.0,2017-05-09 19:06:13
证监会处罚方正证券 罚款60万元,26373,51,241,0.0,2017-05-05 17:03:16
季度报表呢？？？,2566,40,126,0.0,2017-04-28 23:30:51
看好深港通给券商板块带来的机会,160737,396,224,4.0,2016-11-17 10:56:04
《炒股日记》（4月17日，星期一）,11841,30,1378,4.0,2017-04-17 15:57:42
方正证券：尚未收到正式行政处罚决定书,22425,8,250,0.0,2017-05-05 21:02:25
方正证券等信披违法4案被顶格处罚 涉案主体达49,30913,18,1366,0.0,2017-05-06 04:40:02
还是早点下班回家睡吧,32603,47,139,3.5,2016-05-11 17:59:02
《炒股日记》（5月4日，周四）,6476,11,1349,4.0,2017-05-04 15:54:30
《炒股日记》（5月3日，周三）,6178,11,1410,4.0,2017-05-03 16:19:42
《炒股日记》（4月10日，星期一）,9357,17,1194,4.0,2017-04-10 16:06:39
券商必须涨停救市，马上51了，这星期不能就千股,3691,8,145,3.0,2017-04-24 11:30:18
应一些股友要求，现贴图港资持有方正证券情况，,20804,26,192,1.5,2017-04-22 13:34:05
方正证券ABS项目获评2016年度企业资产证券化“,16645,7,1368,0.0,2017-04-27 15:15:58
（5月2日，周二）《炒股日记》,8763,8,1414,4.0,2017-05-02 16:29:39
《炒股日记》（4月28日，周五）,7805,8,1588,4.0,2017-04-29 15:05:45
601901:方正证券关于暂缓表决2017年第一次临时,30104,18,763,0.0,2017-04-06 12:42:20
港资28日继续买入，最新数据：665，013，194 ，10,14537,19,207,3.5,2017-03-29 00:31:42
601901:方正证券对外投资公告,24340,6,1263,0.0,2017-04-29 01:31:19
4月27日，周四《炒股日记》,12121,16,1539,4.0,2017-04-27 16:02:22
公司老板都死了，可能涨不了了,5048,15,138,2.5,2017-03-15 22:30:42
601901:方正证券关于公司涉及诉讼的进展公告(20,28508,18,1038,0.0,2017-04-25 19:31:37
方正证券高管涨薪涉嫌信披违规 评级曾连降6级,20997,16,2718,0.0,2017-04-26 13:36:49
紧急通告：立即抢购处于历史低价的金钼股份6019,50440,46,263,2.5,2015-12-29 11:19:08
《炒股日记》（4月25日，周二）,10021,21,1265,4.0,2017-04-25 15:25:19
4月19日港资持股,8277,10,148,2.0,2017-04-20 08:58:21
公司管理体制改善，自营、投行有望表现突出,21425,7,1074,0.0,2017-04-01 18:22:28
《炒股日记》（4月20日，周四）,19585,27,1179,4.0,2017-04-20 15:38:17
601901:方正证券关于对香港子公司增资的公告,27974,12,1024,0.0,2017-04-24 20:27:37
方正证券老牛B了，大盘跌到2600点,4903,0,135,0.0,2017-04-21 16:56:26
业绩腰斩，官司缠身，外资任性增持的几个疑点??,7246,36,147,0.0,2017-04-21 16:57:53
股价必与每股业绩相匹配，目前股价没有低估!!!!,3572,41,87,0.0,2017-04-21 16:41:53
今天方正沪股通流入1.13亿,13887,12,192,1.0,2017-04-19 18:01:10
业绩腰斩，官司缠身，外资任性增持的几个疑点。,14838,11,533,2.5,2017-04-19 00:04:24
方正证券：一季度净利下滑五成,14387,8,227,0.0,2017-04-18 20:27:08
《炒股日记》（4月18日，周二）,7454,13,1339,4.0,2017-04-18 19:24:28
601901:方正证券关于以前年度重大诉讼进展的公,29404,7,1938,0.0,2017-04-18 19:04:20
那些一天到晚说伪港资的看下你们的股票软件的公,16368,28,238,1.0,2017-04-12 17:38:13
《炒股日记》（4月14日，星期五）,9871,25,1148,4.0,2017-04-14 15:47:34
601901:方正证券关于收到中国证监会行政处罚事,51983,49,1940,0.0,2016-12-19 19:41:26
