标题,阅读,评论,字数,影响力,时间
三倍也低估 2017年2月，违法所得共计人民币93亿,6595,18,149,3.5,2017-08-03 13:46:06
少帅接班，引领恒宝股份002104再起辉煌,4403,13,155,0.0,2017-08-03 11:49:18
基金抱团炒个股是中国式庞氏骗局，隐患危害大03,46417,55,333,4.0,2016-07-22 11:36:45
不是给大家炒的。,1883,42,126,0.0,2017-07-23 13:42:05
券商高预期股策略推荐招商银行,3978,17,231,0.0,2017-07-26 11:52:46
招行揭开银行信贷漏洞 乐视百亿授信或未使用,93684,71,2404,0.0,2017-07-08 03:08:10
超级短线如何玩才能赚到钱？     所谓超级短线,27195,27,1121,4.0,2017-01-29 17:31:59
锂电池 还要涨！氢氧化锂 更疯狂！赣峰锂业 王,5780,17,164,0.0,2017-06-17 01:09:44
集中资金优势，合谋买几只股票，拿傻民的钱不断,1667,6,218,3.0,2017-07-27 10:16:08
快跑，走弱了,3382,11,119,1.5,2017-07-26 10:28:10
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,22006,32,775,4.5,2017-03-08 20:48:19
招行披露半年度业绩预告：增速亮眼，不良下降,29790,17,980,0.0,2017-07-26 18:01:33
招商银行也能这么玩？跟小盘股一样，佩服,5523,11,89,3.0,2017-07-12 14:14:09
2017年半年度业绩快报点评：业绩超预期，继续推,18062,7,1147,0.0,2017-07-26 11:16:42
低？何谓低？何谓高？何谓贵？一目了然,3657,7,411,3.0,2017-06-28 10:31:01
招行净利增速重回两位数 不良率两季连降,29399,8,554,0.0,2017-07-24 18:29:05
招商后市继续上涨,8481,15,704,0.0,2017-07-12 22:45:09
唱空的多了我就放心了,3913,31,130,0.0,2017-07-24 21:08:07
小招的年线后复权图图,6374,10,148,3.5,2017-07-16 11:13:58
最能套住人的几句话: 1、目前价位接近主力成本,27339,27,778,4.0,2017-02-02 17:18:45
超过10倍市盈率的银行股，属于全世界最高，未来,5870,12,223,3.5,2017-07-21 12:46:05
预告,4582,1,128,0.0,2017-07-21 11:28:32
听说有人卖了招商银行，去南京银行？,12753,54,144,0.0,2017-07-11 13:48:27
也算是老散户了，亏出了一些真理，看一只股筹码,8408,17,266,0.0,2017-07-05 19:10:33
周一涨停，兴业跌停,7558,89,128,3.0,2017-07-08 18:16:34
基金抱团炒个股是中国式庞氏骗局，危害大,30758,28,298,4.0,2016-07-21 14:21:35
再创新高~,6352,16,121,3.5,2017-07-14 15:00:29
牛逼！真要上100元了！,15766,71,134,2.5,2017-06-27 20:47:59
盘面上并无强势热点出现,3789,12,133,1.0,2017-07-06 10:53:46
关灯吃面,4062,16,129,0.0,2017-06-26 09:25:57
空仓的感觉就是爽～～哈哈哈！！再见,33146,251,144,4.0,2017-06-16 14:58:21
招商银行刚刚居然有个8000多手的砸到23.6，看来,4982,19,113,3.5,2017-06-26 10:07:01
25.07元！招商银行创历史新高,47935,13,577,0.0,2017-07-12 11:22:55
震惊：招行无法无天，罪不可赦！,9637,10,212,4.5,2017-07-11 15:13:37
全世界都在等招商银行翻红,4697,38,134,2.0,2017-06-28 11:06:24
坏帐大大的,5252,13,120,3.0,2017-07-08 03:50:12
格力电器成为,4506,16,129,1.0,2017-07-08 02:41:49
招商银行的新希望,7387,17,281,3.0,2017-07-02 14:35:38
今天招商银行日K线估计长上影，有短期见顶的迹,8477,25,158,3.5,2017-06-26 11:11:07
"粤港澳大湾区正式上升为国家战略""一带一路""____",17883,44,668,4.5,2017-05-13 16:11:13
重点关注 000507珠海港、601228广州港、600755,3539,18,209,0.0,2017-06-09 08:42:22
招商银行出现顶背离,16196,43,122,1.0,2017-06-13 10:29:23
"招商银行西安雁塔广场支行金葵花客户470多万元""",4038,19,146,3.0,2017-06-27 03:58:49
性价比已高,3120,16,120,3.0,2017-06-26 22:06:44
招商银行芝麻开花节节高，一夜暴富不可能。中长,3472,18,143,4.5,2017-06-25 22:48:37
600036:招商银行第十届董事会第十三次会议决议,14163,18,970,0.0,2017-06-26 18:44:23
现在，敢把钱存入银行的中国人，基本都是吃了熊,2944,16,168,3.0,2017-06-26 20:39:39
600036:招商银行日常关联交易公告,19834,16,1850,0.0,2017-06-26 18:51:13
有何意义，真实上证掉到2300点了.掩饰繁荣，一帮,3555,15,166,4.0,2017-06-26 15:32:17
嘉欣丝绸总分红率和净利润增长率，均远远超过贵,2838,5,247,3.5,2017-06-26 17:25:33
吃药,3214,12,114,4.0,2017-06-26 13:50:32
今日关注石墨烯江海股份，中超控股,3221,13,142,3.5,2017-06-26 11:50:16
四川长虹 严重低估了，营业额都比市值高2倍，有,3671,16,111,3.0,2017-06-26 11:26:26
有的傻比不点名。又想犯刑事责任了哈。嘿嘿嘿。,3397,16,31,3.5,2017-06-26 10:13:48
银座股份今晚通告4亿保定裕华西路开店要败家？,5029,29,127,4.0,2017-06-08 01:17:33
短期筑顶，今天收阴已成定居，如果尾盘拉升，意,6616,23,173,0.0,2017-06-02 14:19:38
招商系有重大合并重组即将公告,2838,4,138,3.5,2017-06-26 10:10:05
600516,5102,21,1010,1.5,2017-07-01 23:19:54
坏帐有多12亿，跑,6408,20,128,0.0,2017-07-04 10:26:50
宽松周期未完 中国明年或降息2至3次,186653,180,4505,0.0,2015-12-27 08:34:18
600036:招商银行信息披露暂缓与豁免管理办法,11747,5,1788,0.0,2017-06-26 18:49:40
招商银行股票不买你还抄什么股？,20287,74,81,0.0,2017-06-10 07:48:10
大癌股智障滞涨！,2732,22,132,0.0,2017-07-01 19:47:40
高端客户的待遇就是好，客户经理盯上了就麻烦了,9355,76,135,3.0,2017-06-28 21:55:54
招商银行四天三起烽烟 高端客户权益该如何维护,39713,28,4347,0.0,2017-06-28 09:01:29
招商银行放量拉升 股价创近十年新高,31395,9,188,0.0,2017-06-27 14:59:31
2点钟突然砸工商银行的是什么人？,11806,44,142,3.0,2017-06-26 14:07:46
不排除有机构收购招商银行,7217,13,134,3.5,2017-06-27 16:45:30
肯定是国家队在打压。前期国家队拉上去，现在要,2209,16,160,3.0,2017-06-13 13:27:00
招行金葵花客户470万不翼而飞 追讨无门维权艰难,25315,18,3564,0.0,2017-06-26 10:23:18
我打赌：今天招商银行一定会泛红，一定会上涨收,2669,15,168,2.5,2017-06-05 11:45:04
价值投资首选陕西煤业！分红率达40%，2017年不得,1971,9,168,0.0,2017-06-05 11:50:48
希望多头完爆空头,2375,68,120,0.5,2017-06-07 13:24:28
今天买的与分红有关系不？,5145,35,134,1.0,2017-05-26 22:03:52
加息预期，银行赚的更多吧啊,8886,68,136,2.0,2017-06-15 02:43:23
因此在空头手中仍众多王牌下,3763,11,136,0.0,2017-06-19 20:06:07
招商银行，又有新动作了！看好这一关键位置！！,2989,8,77,0.0,2017-06-19 16:41:25
招商银行，重要消息 明天关键！,7224,8,70,0.0,2017-06-19 16:41:41
招行红利已到账...,14501,13,123,3.0,2017-06-13 20:35:35
[抄底满仓]截止2017-03-31上海银行十大流通股东,5168,12,804,4.0,2017-04-30 10:56:41
招商银行：21块买入五万股。坐等！,23425,47,114,4.0,2017-05-23 12:19:38
真心请教～～600311荣华实业短期走势？？谢谢！,3359,10,176,4.0,2017-06-09 23:56:12
招商银行现在是什么情况，可以继续加仓吗？,10233,39,91,2.5,2017-06-08 13:50:40
不论上市公司盈亏如何,6321,23,130,0.0,2017-06-01 12:29:37
招商银行(600036)大宗交易数据一览(05-31),16964,5,471,0.0,2017-05-31 19:13:16
风物长宜放眼量！,6615,17,272,3.0,2017-05-25 04:27:56
证监会：请依法常态化治市！查处庄操纵股价的不,39450,46,346,3.5,2016-08-17 10:15:58
招行一月两曝信息泄露漏洞 每年IT投入50亿花哪,37394,10,1810,0.0,2017-06-02 08:06:17
什么时候散户不去跟投机的票了就成熟了，只有监,10840,103,168,0.0,2017-05-25 16:59:07
银行股发力护盘 招商银行领涨,28077,5,175,0.0,2017-05-25 11:01:57
招行网银被曝出现严重漏洞 个人信息存泄漏风险,49476,10,1052,0.0,2017-05-30 09:46:07
开盘抢入招商银行！,8846,11,128,3.5,2017-05-23 21:48:04
600036 恭喜买进的粉丝  明天拉升出货  不要追,37630,47,164,0.0,2017-05-23 15:08:28
金融股持续暴动：招行涨幅已超30% 现在还能不能,80689,24,1903,0.0,2017-05-26 08:29:15
招商银行(600036)融资融券信息(05-02),2811,6,542,0.0,2017-05-03 07:36:09
现在国家队可以出货了，要快,3088,15,136,3.0,2017-05-24 11:13:48
[牛]养老金入市长期化，漂亮50永远漂亮！必将涨,3383,3,868,3.5,2017-05-21 20:31:46
著名经济学家沙黾农先生在他的博客中写道：“60,12454,99,1757,0.0,2017-05-17 14:26:05
2015年12月29日，我为什么买入招商银行！,22720,18,776,2.0,2015-12-29 21:42:20
招商银行上海分行违规放款,3916,9,526,0.0,2017-05-04 11:38:25
招商银行(600036)融资融券信息(05-08),2932,9,550,0.0,2017-05-09 07:38:51
银行板块表现抢眼 招商银行涨逾4%,10996,4,211,0.0,2017-05-23 11:14:11
2016年年度报告点评：“轻型”经营稳健，持续高,14931,7,2189,0.0,2017-03-29 09:34:01
颤抖吧五大银行！30年招行打败百年交行,6420,13,709,0.0,2017-05-05 15:39:45
招商银行盘中创2015年6月9日以来新高,6465,8,261,0.0,2017-05-12 15:20:48
招商银行无锡分行涉嫌侵犯知识产权罪被无锡警方,16785,12,250,2.0,2015-08-28 15:32:18
清净如水，耐心持有，天天念念阿弥陀佛,6551,9,161,3.0,2015-12-07 13:44:10
你不把小散套进出就不甘心的，市场没那么大的资,900,15,39,2.0,2017-05-12 13:17:58
年线高位 建议买入,6536,1,9,3.5,2017-02-28 10:27:32
看港股下辈子千万别做中锅人,4045,37,124,3.0,2017-04-13 11:42:04
招商银行已经调整到位，主力有拉升的迹象，等待,5065,7,101,0.0,2017-05-12 17:57:01
高息银行股春天来了？招商银行AH股齐大涨,7223,8,1795,0.0,2017-05-12 16:59:56
持有银行分红打新，不败的神话，等到新股破发了,900,23,178,3.5,2017-05-05 20:18:00
在股票市场上摊子铺得太大、四处出击很危险！,523,5,152,0.0,2017-05-02 10:52:34
利润总能自己照顾自己，而亏损永远不会自动了结,570,9,156,0.0,2017-05-02 10:51:44
告示：立即抢购处于历史低价附近的金钼股份6019,14036,10,300,3.0,2016-11-24 13:04:19
两大黑科技领域中能率先得到实惠的上市公司,9575,30,1377,3.5,2017-03-15 17:49:39
招商银行：一季度净利增8.9% 不良贷款率1.76%,15075,3,228,0.0,2017-04-27 18:05:50
智慧健康服务远程医疗+业绩倍增现2元0725京东方,203572,268,203,4.5,2015-11-11 14:48:31
4.0工业革命凸起黑科技受惠的上市公司（转乘）,13545,19,3115,2.5,2017-04-03 13:09:39
南京银行与招行银行业绩差不多，南行仍高速成长,21176,30,143,3.5,2016-03-25 10:10:35
招商银行：逢高减仓,12781,15,619,2.5,2016-03-10 16:16:39
月线大顶 年线大顶 哈哈哈,4666,0,13,3.5,2017-03-03 10:49:45
%D%A是时候表演真正的技术时刻啦。快涨，呼叫万,3244,16,160,2.0,2017-04-10 18:34:06
明日起手里有高送转的票建议全部清仓,5286,15,144,2.0,2017-04-11 10:13:02
三个红小兵多头排列成立,3867,12,132,0.0,2017-04-09 16:34:34
A股是否底部要看啥？,25004,57,902,3.5,2016-03-01 17:40:03
5实战炒股口决： 十四工作线，来回做波段；突破,2811,9,156,0.0,2017-04-05 16:17:20
%D%A用户2810094359035810创建了模拟组合,2546,15,164,2.5,2017-04-05 13:51:02
失守生命线，短线怎么办？       今日几大指数,11639,19,676,4.0,2017-03-29 17:00:17
明日券商，保险，银行齐发力助力大盘稳中求胜。,4712,34,257,3.0,2017-03-29 20:08:25
行情尾声，注意风险！经济每况愈下，牛市没基础,28590,32,208,4.5,2015-11-18 14:10:34
招商银行拟10派7.40元,20092,4,243,0.0,2017-03-24 21:02:43
表面看起来差不多的各家银行股，该如何选择投资,25560,26,1358,0.0,2017-03-20 08:28:11
———招商银行,33786,34,1099,3.0,2016-01-19 23:08:05
我不参与这样的炒作，,3551,9,232,0.0,2017-03-20 10:23:10
银行投资者看过来，上市银行年报披露时间表,71729,12,319,0.0,2017-03-20 15:01:24
招商行：优选IPO新股 银行股或应试水T+0(附股),18220,16,2228,4.0,2017-02-19 08:26:41
抛！机构连拉股价，用人性贪婪忽悠小股民在高位,26104,29,355,4.5,2015-11-24 10:04:07
美国大肥猫为招商银行、招粉招财啦！[鼓掌][兴,36962,97,156,3.5,2017-01-28 12:17:59
混改是重大利空，大幅增发新股！快跑！,6247,1,146,0.0,2017-03-02 17:05:30
银行盈利的增长，靠轻资本运营还是垒规模？,17931,10,2849,0.0,2017-03-01 15:04:52
招商银行主力强势介入，日后是个大牛股，买入长,13036,10,497,3.5,2017-02-27 01:56:39
日月股份603218即将大涨！次新龙头！日月股份即,6516,6,113,3.5,2017-02-24 10:32:55
黄金屋和颜如玉兼得,21054,23,1402,3.5,2017-01-22 15:30:43
招行、浦发及兴业三行贷款质量走势分析，谁的贷,36683,16,824,2.0,2017-02-04 13:14:56
进场:地方国企二线蓝筹股---跨年行情热点,10877,4,443,4.0,2017-01-01 07:22:16
又是冲高回落，18.47的套路。我明了[滴汗],13711,70,152,3.5,2017-01-23 13:55:59
《大腕》招商银行版,11681,27,738,3.5,2017-01-10 12:46:42
证监会：请依法治市！无论何机构何目的，只要违,33186,32,384,4.0,2016-05-03 14:33:21
007私募操作计划之二：潍柴重机（000880）,7831,20,288,3.0,2017-01-16 22:25:49
证监会：请请依法治市！查处招行建行工行等操纵,14792,22,259,4.5,2015-10-22 13:47:53
抛！机构连拉股价，制造概念，用人性贪婪，忽悠,61003,30,365,4.5,2015-09-14 14:06:40
没量了呀！,1758,12,120,0.0,2016-12-14 10:33:34
明年经济更加不行！股市靠招行硬撑只会害人！,11270,13,132,3.0,2016-12-14 12:56:42
加油冲呀。,4485,15,120,0.0,2016-12-14 10:34:15
可以进了吧,2454,15,120,0.0,2016-12-14 10:33:47
招商银行(600036)融资融券信息(12-14),7776,1,542,0.0,2016-12-15 07:36:34
600036:招商银行关于与安邦人寿的关联交易公告,33290,12,1777,0.0,2016-12-13 18:39:36
厉害了Word哥,2250,11,126,0.0,2016-12-14 10:28:59
拓展主业务风光独好 冲刺黑科技金光灿烂（共享,23001,32,3629,3.5,2016-11-01 17:03:24
私募冠军狂买该股 又一个高送转个股要飞奔？,7400,21,1814,3.0,2016-12-06 16:50:44
用不了几天，大家又要温习千股跌停的日子了中国,24263,20,164,4.0,2016-08-15 10:27:05
今日深港通，业绩优良的银行，抢入,4201,0,142,2.0,2016-12-05 08:19:54
招商银行 ，下个交易日，压力位 18.86 ，支撑位 18,3126,0,328,1.5,2016-12-02 20:38:30
银行AH股，估值及溢价情况如何？,40683,12,452,2.5,2016-12-01 20:20:09
辣椒 永远比不上南京银行,2244,9,134,0.0,2016-11-30 16:43:52
高位养老金来接盘,1841,10,126,0.0,2016-11-30 16:43:13
壮士腰间三尺剑；男儿腹中五车书,2370,23,140,0.0,2016-11-29 19:10:41
没有比读书更好的娱乐更持久的满足了,1785,24,144,0.0,2016-11-29 19:10:20
操盘日记： （002661克明面业）进入攻击形态,4988,9,286,3.0,2016-11-28 13:02:54
沪指早盘再创反弹新高，午后震荡回落,6877,75,144,2.0,2016-11-21 23:40:22
私募操盘日记：滨海能源（000695）进入攻击形态,8326,35,266,3.0,2016-11-16 16:26:25
[大宗交易揭秘]·600036:招商银行2015年第三季度,15972,6,668,4.0,2015-10-31 09:00:58
股票随,4637,20,116,1.5,2016-11-12 09:52:29
[重磅震撼]招商银行2015年三季报智能点评[点击,11888,8,700,4.0,2015-10-16 10:22:27
招商银行2015年三季报智能点评[点击查看原文][,18916,12,694,4.0,2015-10-16 10:19:48
明天注意这几点哦1,4627,47,128,0.0,2016-11-13 12:43:07
招商银行PK兴业银行，谁更优秀？,15580,9,2025,3.5,2016-11-07 18:38:24
招行连失“三位次” 质量和规模哪个更重要？,21790,6,2731,0.0,2016-11-05 05:48:06
聚焦：“健康中国2030”出炉，大健康概念引爆市,7470,26,1746,3.0,2016-11-02 21:15:33
上市银行三季报探秘：不良率回落,22350,8,3564,2.5,2016-10-31 18:53:08
