标题,阅读,评论,字数,影响力,时间
东兴证券(601198)大宗交易数据一览(01-03),21357,9,479,0.0,2017-01-03 18:04:06
东兴证券(601198)大宗交易数据一览(12-29),25049,9,672,0.0,2016-12-29 18:26:33
601198:东兴证券关于全资子公司参股东方邦信金,36306,8,930,0.0,2016-12-28 18:33:47
东兴证券(601198)大宗交易数据一览(03-07),90590,163,481,0.0,2016-03-07 18:05:36
东兴证券,9114,9,59,4.0,2016-12-19 22:30:23
证券股必将诞生百元股若干，券商为何狂泄不止，,11057,9,328,3.0,2016-12-17 23:06:05
601198:东兴证券第三届监事会第十四次会议决议,26277,2,1741,0.0,2016-12-08 16:53:51
2016年三季报点评：定增落地 打开公司长期发展,38452,6,1001,0.0,2016-10-28 15:20:06
定增扩充资本实力，集团协同打造差异化发展,40099,4,861,0.0,2016-11-03 09:54:22
东兴证券贴吧封笔贴，我以后绝不会在东兴证券出,15682,9,376,3.0,2016-07-30 21:00:58
券商股中跌最惨的就数东兴了！为什么？,18012,24,141,3.0,2016-12-14 13:37:20
个人还是非常看好未来调整好后的券商的，现在这,17568,35,224,2.5,2016-08-04 12:02:22
601198:东兴证券关于完成非公开发行后变更注册,43153,11,892,0.0,2016-12-08 16:53:51
行情尾声，注意风险！经济每况愈下，牛市没基础,13208,21,207,4.5,2015-12-15 11:12:41
601198今年破新高，22.4以下闭着眼睛买就是,14410,24,160,3.0,2016-09-27 11:33:57
601198:东兴证券2016年11月财务数据简报,28524,8,479,0.0,2016-12-06 18:39:44
立将腾飞最快的证券股!,8326,10,2225,4.0,2016-11-17 08:14:08
东兴证券涨不上去的原因在哪里?,18230,14,2172,4.0,2016-11-17 08:20:30
继续买,7294,14,3,0.0,2016-11-30 15:13:00
601198:东兴证券关于向全资子公司东兴证券投资,57625,14,569,0.0,2016-11-21 16:05:29
今天应该有根单针,4921,10,124,3.0,2016-11-30 09:30:58
东兴入选上证50指，看高,14804,8,134,2.5,2016-11-28 13:39:01
23.55买入东兴证券，迎接深港通,38527,48,129,3.0,2016-11-08 11:43:28
周五买券商股票，押注10000股，专买的打压严重,10574,11,195,3.0,2016-11-26 08:02:33
东兴证券具备高送转的可能性！,18335,14,187,4.0,2016-11-22 10:57:29
下周券商起舞,12370,12,122,2.5,2016-11-25 19:00:35
东兴证券为何在本轮行情中表现如此之差？,17691,6,606,3.5,2016-11-24 19:29:50
深港通12.5开通，下周会不会连板五天[鼓掌],9102,6,152,3.0,2016-11-25 19:19:08
601198集AMC 举牌 业绩增长40倍 更名于一身,10669,12,206,3.5,2016-10-17 11:57:13
