标题,阅读,评论,字数,影响力,时间
至从买了建行，已经中了三签。还分了三万多的红,10162,11,250,3,2016/10/18 20:57
建行不涨，买菜妹都躲起来了，不敢落脸了。你们,9227,21,229,2.5,2016/10/17 22:06
建行50亿“入主”云锡集团 2020年或获近千亿回,8353,8,734,0,2016/10/17 9:40
调查一下，入股市的10个人，大约多少人认为人银,7064,25,194,0,2016/10/16 20:18
建设银行与云锡集团签订首单地方国企市场化债转,23021,76,743,0,2016/10/16 12:30
满仓银行等轿夫,6780,5,124,3.5,2016/10/14 13:26
债转股目前最大的手笔就是宝钢，武钢的重组，而,5327,5,244,3.5,2016/10/14 8:17
债转股项目连续落地 建行与云锡将签约,7660,7,1776,0,2016/10/13 3:28
一些很有意思的数据:银行股十六家商行股东人数5,13653,41,40,3,2016/10/12 18:12
据报云锡集团获建行近百亿人币投资置换高息负债,5578,3,388,0,2016/10/12 13:25
建行 交行跌逾2％ 国务院发布银行债转股指导意,13143,6,1442,0,2016/10/11 15:51
现在买进建设银行股票就和20年前买房子一样，发,7346,11,158,4,2016/10/11 13:26
银行贷出的钱收不回来了，这就是债转股的结果。,3891,8,154,3.5,2016/10/11 9:39
从我学会买股的那天起，我永远满仓。永远没理会,4798,5,280,2.5,2016/10/10 23:18
债务危机，冰山一角！！！,3529,6,1170,2,2016/10/10 20:56
建设银行(601939)大宗交易数据一览(10-10),6502,5,483,0,2016/10/10 19:10
按建行当年发行价的市净率市盈率计算，现在股价,4367,8,224,4,2016/10/10 14:17
机构之所以集体唱空银行股，特别是四大行，你们,21726,40,614,3,2016/10/10 9:29
建设银行2007年新股发行时，每股净资产1.68元，,7865,8,295,3,2016/10/6 14:23
美国市场的银行股市盈率,104558,127,1943,4,2016/10/5 22:22
以后想在股市里赚钱，这几类股票真的不能买了,10983,11,439,3.5,2016/10/5 10:55
亿万富翁谢百三 股市成功者和获利者,12169,15,1121,4,2016/10/4 8:25
